cid,Probability of nonactivity,Probability of activity
6334737,0.64615726,0.35384277
22867782,0.6463437,0.35365626
49784137,0.6464405,0.3535595
5274292,0.6464677,0.3535323
1190,0.6467385,0.35326144
122280,0.6467385,0.35326144
73323,0.6467385,0.35326144
13989283,0.64680004,0.35319996
451371,0.64680004,0.35319996
454142,0.6468243,0.3531757
135457441,0.64685464,0.3531454
129389389,0.6468632,0.3531368
11728978,0.64687586,0.35312414
23634773,0.64717996,0.35282007
44151925,0.64727557,0.35272446
46875339,0.64743394,0.35256606
3010388,0.64743394,0.35256606
92246571,0.64743394,0.35256606
136248812,0.647479,0.352521
3009937,0.64765775,0.35234225
6992262,0.6477392,0.35226083
3012258,0.64797556,0.3520244
487685,0.64844406,0.35155597
493223,0.64865494,0.35134506
449584,0.6486617,0.35133833
515111,0.64873934,0.3512607
54148415,0.6491684,0.35083163
156619778,0.6492357,0.35076424
124254961,0.6492357,0.35076424
118991702,0.6492357,0.35076424
3011533,0.6495787,0.3504213
16755631,0.6496749,0.35032508
5273015,0.650064,0.34993598
3081390,0.6501369,0.3498631
73353418,0.65016353,0.3498365
21677555,0.6506959,0.34930405
3080705,0.6508701,0.34912995
131885191,0.65148526,0.34851474
179629,0.6514915,0.3485085
492561,0.6520121,0.34798792
45039587,0.65234095,0.34765905
97297,0.65234095,0.34765905
25880707,0.65234095,0.34765905
6419781,0.65234095,0.34765905
135485495,0.6528034,0.3471966
5276734,0.6529586,0.34704143
88101259,0.6530616,0.34693834
90663555,0.6535075,0.3464925
131886803,0.6535075,0.3464925
14237950,0.6535337,0.34646633
6426626,0.6535337,0.34646633
136025255,0.65361595,0.34638408
107764,0.65366155,0.34633845
23421442,0.6541066,0.34589338
439424,0.65424865,0.34575135
137019865,0.65453076,0.34546924
4661673,0.65499854,0.3450015
12071879,0.65517664,0.3448234
6714006,0.65517664,0.3448234
71444956,0.6552166,0.3447834
137099057,0.6552679,0.3447321
54017251,0.6553155,0.34468448
135434784,0.65545857,0.34454143
470024,0.655625,0.34437504
270861,0.655625,0.34437504
6858204,0.65592945,0.34407055
131884918,0.65610373,0.34389627
53724373,0.65616417,0.3438358
21144622,0.6561661,0.34383395
13989304,0.65660036,0.34339964
156594202,0.6566647,0.34333524
507024,0.65674484,0.3432552
6534308,0.65674484,0.3432552
5273004,0.657,0.343
260472,0.65734756,0.3426524
51371334,0.65744114,0.3425589
1272916,0.65744114,0.3425589
511644,0.65744114,0.3425589
6419973,0.65744114,0.3425589
3007215,0.65785956,0.34214047
6505368,0.65787363,0.34212634
6439649,0.65787363,0.34212634
134220,0.65787363,0.34212634
3010090,0.6580012,0.34199885
131880742,0.6582546,0.3417454
512626,0.6583092,0.34169075
3012551,0.65871453,0.3412855
191215,0.65885603,0.34114394
136229819,0.65918326,0.34081674
511720,0.65946436,0.34053564
137195841,0.65967804,0.34032196
3007129,0.65984315,0.34015685
42553033,0.660063,0.339937
42553032,0.660063,0.339937
71832128,0.660063,0.339937
121487080,0.6601598,0.33984017
101926865,0.66060495,0.33939508
14409040,0.66115946,0.33884054
515214,0.66125095,0.33874908
89858725,0.6614785,0.33852145
487684,0.6616306,0.33836943
9883997,0.6616385,0.3383615
3036471,0.6617138,0.33828622
135398692,0.6619066,0.3380934
513034,0.6621454,0.33785462
139025114,0.66218555,0.33781445
445093,0.66240203,0.33759794
3036202,0.66253674,0.33746323
65375,0.6625871,0.3374129
121486770,0.6626608,0.33733922
121486876,0.6629665,0.3370335
131843750,0.6630202,0.3369798
94136,0.66318816,0.33681184
22803666,0.66318816,0.33681184
7264507,0.66318816,0.33681184
131858702,0.6635373,0.33646268
22895138,0.6639836,0.33601642
64979,0.66407466,0.33592534
483947,0.66435957,0.33564046
167800,0.6646399,0.3353601
92021611,0.6646526,0.33534744
131858474,0.6651151,0.33488488
135783067,0.6652665,0.33473352
3081517,0.66528726,0.33471274
19362123,0.66583717,0.3341628
71539358,0.66588306,0.3341169
169295,0.6660944,0.33390558
71401941,0.66627127,0.33372873
3012249,0.66682637,0.33317363
125496047,0.66699344,0.33300656
135462526,0.66721416,0.33278584
3012586,0.6672688,0.3327312
189237,0.66730046,0.33269954
49784203,0.6674192,0.3325808
22814079,0.6675116,0.33248842
101335356,0.6678471,0.3321529
15279197,0.66786194,0.33213803
29979263,0.66786194,0.33213803
139026034,0.66786194,0.33213803
511016,0.66805804,0.33194193
91669385,0.6680955,0.33190447
15938966,0.6681911,0.3318089
121487311,0.6682824,0.33171764
3013084,0.66829526,0.33170474
77280370,0.6683847,0.3316153
193604,0.6684395,0.33156052
506145,0.6685076,0.33149245
135405922,0.6685339,0.3314661
3012254,0.66899014,0.3310099
5271699,0.66904175,0.33095828
453195,0.669209,0.330791
136744872,0.6693833,0.33061668
452412,0.6695796,0.33042037
477551,0.66965246,0.3303475
134520771,0.66977686,0.33022314
14840825,0.6698805,0.33011946
5271262,0.6699222,0.33007783
3007125,0.670709,0.32929096
16721025,0.67088854,0.32911146
131881061,0.67103505,0.32896492
495012,0.67116773,0.3288323
502238,0.67122066,0.32877937
21117199,0.6713322,0.32866782
118988859,0.6713693,0.32863066
191008,0.671525,0.328475
481520,0.6715713,0.3284287
163285378,0.67170393,0.32829604
129864,0.67200845,0.32799155
3010825,0.67203796,0.32796207
135554439,0.672246,0.32775402
470065,0.67285264,0.3271474
6475823,0.672907,0.32709303
510968,0.67299473,0.3270053
121228751,0.6730231,0.32697693
11004885,0.6730776,0.32692242
18658060,0.67308927,0.32691076
16655024,0.67322946,0.32677054
3246447,0.67323714,0.32676286
1268108,0.6738131,0.32618687
40496690,0.6738131,0.32618687
51407982,0.6738131,0.32618687
96621,0.6738131,0.32618687
2729605,0.6738131,0.32618687
7195996,0.6738131,0.32618687
53983167,0.6740724,0.32592762
6481577,0.6740861,0.32591394
3006618,0.6745714,0.3254286
513276,0.67461044,0.32538956
137186166,0.6746514,0.32534862
