cid,SAscore,WiA_D/Dt,J_D/Dt,GATS3m,P_VSA_charge_1,QED,CATS2D_04_LL,JGI8,F04[O-O],HVcpx,nR=Cs,JGI9,Eta_B,CATS2D_02_AL,Eta_B_A,CATS2D_08_DL,GATS2m,minssNH,CATS2D_04_AA,GATS4m,max_conj_path,MATS4e,GGI4,VE2sign_B(p),Eig06_EA(bo),nCconj,P_VSA_ppp_D,MATS1m,CENT,MaxssssC,GATS7m
596.0,0.4839745287603071,0.7420062015605893,0.1426474195870853,0.5025768462732024,0.2991674241996552,0.1614432588523676,0.1999999999999999,0.3340587703148818,0.0625,0.8531551101981413,0.0,0.2604953074577379,0.2680517107405463,0.0625,0.2401997175212601,0.1428571428571428,0.7747939520202559,0.6734552152595029,0.1875,0.4305785309002174,0.1607142857142857,0.533140266500528,0.2383343375510483,0.0993586053222721,0.7609478547969004,0.0,0.3659143271187293,0.427034817923584,0.1860406305319059,0.938186363250434,0.3926839101127478
1318.0,0.2454268529346716,0.3597821117037614,0.1551960914286851,0.4627299909787412,0.0588677498677681,0.7280958707778846,0.0363636363636363,0.0,0.0,0.3229764761833429,0.2,0.0,0.2473455685643834,0.0625,0.5705997708241417,0.0476190476190476,0.5765095117911102,0.0,0.0,0.5192235856785341,0.2142857142857142,0.1978479264622908,0.1842404766686754,0.2223778906131265,0.6192443859686888,0.3076923076923077,0.1503833040053399,0.5250679856521052,0.0119699907274719,0.938186363250434,0.3786658096887575
1570.0,0.3978225274145128,0.1122134064750461,0.2813314336178226,0.433899589900635,0.3771148870712727,0.3850729556505525,0.0,0.5242376629422714,0.1875,0.3738822794066618,0.1,0.4263256061817225,0.2187688658704487,0.125,0.4077644099407067,0.0,0.6195585608271016,0.6436511405384344,0.1875,0.4427975656179604,0.1785714285714285,0.4801680837501344,0.2934993639954485,0.2060603476961789,0.734140182362981,0.2307692307692307,0.4421962043018222,0.286130181149522,0.0203152659529629,0.938186363250434,0.5195682194278873
1821.0,0.4229648926963255,0.3552623622150628,0.1129339456783406,0.4534227422919188,0.2522206823746414,0.3606502279093557,0.0,0.494442504655492,0.0625,0.4123504798887752,0.0,0.3075539568345327,0.126442879771065,0.125,0.2778557134083576,0.0,0.7172658477010692,0.4992623146384474,0.25,0.4796269332134359,0.1607142857142857,0.3719259087165746,0.1304144071768091,0.1246944470679851,0.6517199690684219,0.0,0.4341937222554035,0.3260521746510069,0.0179549860912079,0.938186363250434,0.4101709691215224
2199.0,0.2755404768190695,0.4033905034746236,0.1342316643080245,0.5411150554174637,0.1086088206747314,0.5891474913378197,0.0727272727272727,0.3493768801031374,0.0,0.5733990450436418,0.2,0.3348804827106064,0.2720423612589234,0.15625,0.3526623479000824,0.1428571428571428,0.525686034018745,0.762038333293316,0.0,0.5256957837639663,0.2142857142857142,0.3334264453501262,0.2351208408649663,0.2581452678774004,0.8654183491073024,0.3076923076923077,0.1421962043018225,0.7060390662373325,0.0642333305234763,0.938186363250434,0.4235200088127318
2754.0,0.3089709027209742,0.5645237041251532,0.0662488452857664,0.6246422904998968,0.147976237679055,0.8044959194142385,0.0,0.4418724606399188,0.0,0.4618575398589405,0.0,0.5719614784363,0.121512051831554,0.125,0.2853610736414638,0.0,0.7267573243921336,0.8115150115425186,0.0,0.478189483815756,0.1071428571428571,0.3617351115576892,0.1091919394791457,0.0437455418700049,0.6011726544944154,0.0,0.1421962043018225,0.4338594942203497,0.017322768271095,0.938186363250434,0.3102468941835411
3197.0,0.1409567822925694,0.3450364937785997,0.1671172213114617,0.0125676590231935,0.1250305471329875,0.1640817267369319,0.3272727272727272,0.2042597765363126,0.0,0.537199041179388,0.0,0.1769784172661872,0.2194205586283045,0.125,0.3535036349598657,0.0,0.0541819721359366,0.0,0.0,0.0195397160533887,0.25,0.460409848271013,0.0926558211153513,0.032300571571032,0.6832436477458619,0.0,0.0,0.3365791090115747,0.1352103177948242,0.938186363250434,0.0422731425472293
3213.0,0.3692002813530843,0.2366482050143232,0.2293758061460271,0.4976139209561887,0.1724428080969734,0.8673821096765181,0.1636363636363636,0.4089385474860341,0.25,0.4002108771293833,0.0,0.4856115107913675,0.2199106712176862,0.375,0.4097426299139921,0.1428571428571428,0.522343301621484,0.0,0.25,0.4084038399091207,0.2142857142857142,0.6027371519026784,0.2570797348865245,0.215502487503347,0.7211210837013347,0.3076923076923077,0.1999999999999999,0.3590240004388039,0.0210739273370985,0.938186363250434,0.5760784265214045
3385.0,0.3225692898048721,0.5851381316831961,0.1135313546617106,0.6541046091442505,0.0960632582995676,0.5317220591918042,0.1636363636363636,0.5873902633679179,0.125,0.4720854210402293,0.0,0.2458033573141491,0.2949355593055482,0.34375,0.4903581328069857,0.0476190476190476,0.584539950773463,0.5686553736601379,0.125,0.3988995024008015,0.0,0.5172828609652227,0.2142331124054367,0.0900884652351167,0.7789278937401904,0.0,0.1421962043018225,0.4035340219498666,0.0335496923206608,0.8298226751891107,0.3666879199401763
3458.0,0.3291392042057242,0.2472362187362541,0.1733753260139438,0.0934788524978648,0.1110890853877671,0.3794120624665038,0.3636363636363636,0.3245039491427468,0.0,0.468618051797068,0.5,0.3012198936502974,0.3148367256087788,0.3125,0.4398710619256976,0.0,0.1359443117464212,0.0,0.0625,0.0968411819067909,0.3571428571428571,0.4281639540861345,0.2136975296244236,0.0175714467502005,0.7952323307157534,0.3076923076923077,0.0,0.3316912698293509,0.1515636854084127,0.938186363250434,0.0957973586869102
3542.0,0.8679398618659634,0.1153986467880993,0.3849627179594457,0.5335588839734307,0.3472409004051882,0.1478663062112718,0.1454545454545454,0.4435327436374904,0.25,0.5680046396545743,0.5,0.3533516044307434,0.4879189828307467,0.4375,0.4570324238703869,0.1904761904761904,0.664703103192045,0.0,0.25,0.5101785634485775,0.1071428571428571,0.4054350319086754,0.4574546428332335,0.0123269278010704,0.8600979156660074,0.3846153846153846,0.3000000000000009,0.4735554175746151,0.0987102756469695,0.8358536488652134,0.4179359255842138
3832.0,0.292950248851714,0.53543518653586,0.0851763843070727,0.5809799012346959,0.0763795497974058,0.7639891044815631,0.1272727272727272,0.5212290502793306,0.125,0.4109011336414118,0.0,0.2398081534772183,0.2018951370658366,0.1875,0.4216519209215391,0.0952380952380952,0.6748443722570613,0.5762749198923929,0.125,0.4083883690920756,0.0,0.5546476801812561,0.1574613376179961,0.6533122995380318,0.6968525929368262,0.0,0.1421962043018225,0.3921280784583031,0.0187979431846919,0.938186363250434,0.3460742418198279
3879.0,0.5227313605685776,0.2636481683150402,0.2118823254953874,0.5367916342274366,0.3645693246961087,0.2462919117227596,0.5636363636363636,0.4758262235851359,0.1875,0.6733770776430384,0.3,0.3635694618908067,0.4536560011556091,0.28125,0.449492443135184,0.3333333333333333,0.685313864797992,0.0,0.1875,0.5324580046311892,0.1071428571428571,0.4493440137392844,0.4607350873669414,0.0669115140714069,0.8220213093722148,0.3846153846153846,0.4000000000000003,0.4544502550008016,0.1070555508724606,0.9352500477674076,0.3912567895042548
4112.0,0.3908482648470085,0.1082703961746349,0.271003032947147,0.4744365047649306,0.3007353372738672,0.5167184337828952,0.0181818181818181,0.5897673708100544,0.0625,0.3752895401770753,0.1,0.4263256061817225,0.1938147863666084,0.125,0.384398125329599,0.0,0.652141564809025,0.6740576234746547,0.0625,0.4907273449682938,0.1785714285714285,0.3713279973632869,0.2505857936667346,0.0827664534312599,0.6991001832609904,0.2307692307692307,0.3421962043018227,0.33591848382168,0.0177020989631627,0.938186363250434,0.5521520148743494
4212.0,0.3826066055831888,0.3079348176193116,0.1323910755442296,0.4597918226425854,0.4740951008452662,0.2566997344779093,0.0,0.3847130523108178,0.0625,0.327110741070076,0.0,0.1348920863309354,0.3731746561712815,0.15625,0.6436274192349415,0.0,0.599017326772678,0.0,0.3125,0.4396598999457925,0.1964285714285714,0.4215576489310564,0.2141661645578094,0.1268863944531738,0.7117565361791004,0.0769230769230769,0.454145317755638,0.2079251920798811,0.0794065582061873,0.938186363250434,0.4148166736342801
4491.0,0.8256392930973518,0.1077523530257409,0.4004751342885326,0.5372315108776858,0.1377859595151329,0.1969776643762024,0.1272727272727272,0.4560988971296471,0.1875,0.550358930531888,0.4,0.3502679338011077,0.4606237078099745,0.5,0.4310228837204953,0.0,0.6249042840688951,0.0,0.1875,0.5026082150659973,0.1428571428571428,0.3846680366594691,0.4476802570797356,0.0077517564571344,0.8798778363993534,0.4615384615384615,0.0,0.5241169994093078,0.1101744921183511,0.8947714854762192,0.381739242944584
4605.0,0.688701049842762,0.06648525469659,0.3760075524446711,0.4584652702203089,0.1157469668017295,0.5286846533497467,0.0363636363636363,0.5234097257491113,0.0625,0.3945008211077079,0.1,0.4343858246735936,0.2886409345638339,0.3125,0.3599951583766324,0.0,0.6595268752610886,0.0,0.375,0.4316248548730274,0.1428571428571428,0.4984277783492964,0.5077324764008841,0.0134384119833271,0.8001926608851575,0.4615384615384615,0.0999999999999999,0.5195206510154445,0.0463204922869426,0.938186363250434,0.4711173074629573
4749.0,0.2321404425920852,0.0745593740408409,0.207255511013529,0.2207010651874587,0.2116840998067935,0.3508230310050294,0.109090909090909,0.4525139664804451,0.0,0.193276292197691,0.0,0.0,0.477745815038031,0.125,1.0,0.0952380952380952,0.2247424566208234,0.0,0.0,0.1919130419415155,0.25,0.5697475827648962,0.1772779005154985,0.0550890787640003,0.67654940633685,0.0,0.1541453177556371,0.1075446624675295,0.0386074348815645,0.938186363250434,0.1199460554680611
4931.0,0.4214200002505387,0.2623674514114314,0.2615004360138966,0.336844479169296,0.0,0.3130146265614532,0.4909090909090909,0.2394508498751929,0.0,0.2690090333027805,0.0,0.2466598150051389,0.314910253182377,0.1875,0.330491197575866,0.0,0.4395498720895829,0.0,0.0,0.2785015557022425,0.5357142857142857,0.5149804716243599,0.1794202316395531,0.0623989460839041,0.8928253599919629,0.0,0.0,0.832171860872044,0.1970833684565455,0.938186363250434,0.3070866477905809
5043.0,0.3089709027209742,0.5645237041251532,0.0662488452857664,0.6246422904998968,0.147976237679055,0.8044959194142385,0.0,0.4418724606399188,0.0,0.4618575398589405,0.0,0.5719614784363,0.121512051831554,0.125,0.2853610736414638,0.0,0.7267573243921336,0.8115150115425186,0.0,0.478189483815756,0.1071428571428571,0.3617351115576892,0.1091919394791457,0.0437455418700049,0.6011726544944154,0.0,0.1421962043018225,0.4338594942203497,0.017322768271095,0.938186363250434,0.3102468941835411
5100.0,0.5062921107346948,0.238877124694283,0.3035172310898538,0.4983571674991384,0.3701601165829916,0.278572860043365,0.1999999999999999,0.5046554934823081,0.3125,0.5739040656021909,0.0,0.4007747648035412,0.4844288891190924,0.59375,0.4537067298646983,0.238095238095238,0.5644626733235067,0.0,0.4375,0.4308961893192398,0.2857142857142857,0.5039207425961165,0.5971748008301536,0.061556546708224,0.9081391404869588,0.1538461538461538,0.4000000000000003,0.4101906332694613,0.1222287785551715,0.6646829469673414,0.4055558242678038
