cid,JGI4,ChiA_B(e),GATS7m,MATS1i,SpMAD_EA(ri)
596.0,0.3087301587301591,0.5605850678257664,0.3926839101127478,0.516225143927243,0.3953356359249302
1318.0,0.5516483516483521,0.0225255965847699,0.3786658096887575,0.8423709110135806,0.695036716049982
1570.0,0.552142857142858,0.2036007947795699,0.5195682194278873,0.7382346013735912,0.6620424393763007
1821.0,0.3250000000000002,0.2882015753017941,0.4101709691215224,0.5168047868638318,0.4466476659201825
2199.0,0.3790476190476198,0.1400836299220689,0.4235200088127318,0.6448882194429267,0.6186839044171215
2754.0,0.3919642857142865,0.4649629194832596,0.3102468941835411,0.5853213933791236,0.4375606248028227
3197.0,0.2147465437788019,0.5150037371199141,0.0422731425472293,0.5840441511253553,0.4517221607023534
3213.0,0.4658536585365856,0.211664469859742,0.5760784265214045,0.7266788972743838,0.6886001027134507
3385.0,0.4180451127819558,0.3961973968271852,0.3666879199401763,0.6336561382655038,0.6517736639991418
3458.0,0.3503246753246762,0.2638427962439262,0.0957973586869102,0.5434436160957616,0.549216834280073
3542.0,0.4103752260397835,0.2876736577626015,0.4179359255842138,0.6284628863338888,0.6062630472862693
3832.0,0.4492063492063496,0.4735016709668547,0.3460742418198279,0.6768221637076469,0.6643961716692832
3879.0,0.4760714285714292,0.3372795899502421,0.3912567895042548,0.7108168005023443,0.7066678760655178
4112.0,0.5611869747899165,0.2216528069331036,0.5521520148743494,0.7139710528481241,0.6780261629014417
4212.0,0.4311293436293438,0.2207265489892274,0.4148166736342801,0.5870868824532445,0.5480224620037402
4491.0,0.3888227513227519,0.2939998315384948,0.381739242944584,0.5629362281292422,0.6113309283832757
4605.0,0.4481481481481488,0.247934312078986,0.4711173074629573,0.4717064045352066,0.686623657034755
4749.0,0.608695652173914,0.1141192491959235,0.1199460554680611,0.7815925494125618,0.6279891880595612
4931.0,0.2326923076923085,0.2255957452878281,0.3070866477905809,0.7073314567029161,0.6170535874331926
5043.0,0.3919642857142865,0.4649629194832596,0.3102468941835411,0.5853213933791251,0.4375606248028227
5100.0,0.4945812807881775,0.2155846456524237,0.4055558242678038,0.6360386177144952,0.698314692065042
5153.0,0.3680851063829792,0.1607457372318781,0.4823461484831071,0.6192084248235731,0.5735237732126817
5154.0,0.5543703007518798,0.286423022214624,0.4645113109234251,0.6088654950215364,0.7381034792308658
5303.0,0.2603723404255327,0.2190724517679876,0.4692615787362549,0.4865581324554795,0.5261294837126371
