cid,Probability of nonactivity,Probability of activity
6483689,0.5024979,0.49750212
156594853,0.50250673,0.49749327
11514721,0.5025071,0.4974929
129317836,0.5025071,0.4974929
132283238,0.5025071,0.4974929
10249185,0.5025071,0.4974929
10491412,0.5025151,0.4974849
135509071,0.5025209,0.49747905
124528039,0.50252527,0.49747473
6440103,0.5025253,0.49747467
11010214,0.5025282,0.49747178
54166782,0.50253105,0.49746895
98113741,0.5025321,0.49746788
98116132,0.5025321,0.49746788
129449826,0.5025321,0.49746788
97305099,0.5025367,0.4974633
135743938,0.50254595,0.49745402
92247583,0.5025484,0.4974516
15047,0.5025484,0.4974516
77280603,0.5025507,0.49744925
123262984,0.5025607,0.49743932
146066,0.50256646,0.49743354
53965369,0.50256646,0.49743354
131858703,0.5025674,0.49743262
139267828,0.5025685,0.49743155
139591931,0.5025685,0.49743155
71752893,0.5025747,0.4974253
456513,0.5025774,0.49742258
11119723,0.5025774,0.49742258
44146603,0.5025842,0.49741575
173266,0.5025852,0.4974148
44829127,0.5025871,0.49741295
139267847,0.5025943,0.4974057
139267848,0.5025943,0.4974057
10753744,0.502596,0.49740395
135596618,0.5026069,0.49739307
136217255,0.5026145,0.49738553
136262592,0.5026145,0.49738553
131882935,0.50262403,0.49737594
3011746,0.5026252,0.4973748
57263944,0.5026252,0.4973748
71311249,0.5026252,0.4973748
494929,0.5026275,0.4973725
4304654,0.5026275,0.4973725
44629987,0.50262964,0.4973704
6603750,0.50262964,0.4973704
6921725,0.50262964,0.4973704
5353599,0.50262964,0.4973704
16219063,0.50262964,0.4973704
688407,0.50262964,0.4973704
446727,0.50262964,0.4973704
3183,0.50262964,0.4973704
6481583,0.50262964,0.4973704
68886,0.50262964,0.4973704
5271957,0.5026307,0.49736926
86751178,0.50263155,0.49736843
10915407,0.5026339,0.49736607
189213,0.50263774,0.4973623
92246421,0.502639,0.497361
6450926,0.5026403,0.4973597
512669,0.5026403,0.4973597
126283,0.50264925,0.49735075
459903,0.50264925,0.49735075
452498,0.5026566,0.49734342
53833608,0.50265706,0.49734294
121487485,0.5026654,0.49733457
136415743,0.5026674,0.49733257
124396689,0.5026685,0.4973315
13205979,0.5026685,0.4973315
53794255,0.5026685,0.4973315
13205980,0.5026685,0.4973315
512329,0.50267446,0.4973255
54432316,0.50267994,0.49732003
129009617,0.5026827,0.4973173
189108,0.5026976,0.49730238
136257920,0.5027053,0.49729472
6476965,0.50270915,0.49729088
9841193,0.50270915,0.49729088
83533,0.5027109,0.49728912
44237263,0.5027109,0.49728912
12898167,0.5027109,0.49728912
107461,0.5027109,0.49728912
136260503,0.5027145,0.49728546
446658,0.5027164,0.49728358
92246512,0.50272954,0.4972705
9543506,0.50272954,0.4972705
92246511,0.50272954,0.4972705
29243,0.50272954,0.4972705
76966528,0.50272954,0.4972705
16080049,0.50273025,0.49726978
295521,0.5027355,0.49726453
138058736,0.5027384,0.49726158
137699191,0.5027384,0.49726158
146160048,0.5027384,0.49726158
10826877,0.50274146,0.4972585
