,coef
MW,-0.0002805049287305081
N%,-0.021667734106046284
D/Dtr03,0.0023161078218650244
D/Dtr04,0.0006133267971011237
D/Dtr05,0.0009335553211478145
D/Dtr06,0.00030172254826382343
D/Dtr08,0.0007874937603440425
D/Dtr09,0.0009738409408764195
D/Dtr10,0.0006427652618559673
D/Dtr12,-0.0012236891784612393
LPRS,-0.0001517663179930521
ECC,0.0004903189197849285
MDDD,0.016802258701780926
UNIP,-0.0020299418683615267
CENT,-0.0001071841187017661
VAR,-0.0006749676702080018
MaxDD,0.00946163021886697
Wap,5.612418269941224e-08
DELS,-0.000736555037149973
TIE,-0.0007058851580162166
BAC,-0.000298320596592964
ISIZ,-0.00017460954874681518
IDET,0.00017383003613221878
IDMT,-1.6297221974883096e-06
Uindex,0.0008644480514671572
TIC1,-0.002654831589280243
TIC2,-0.0002845993822385633
TIC3,0.0035813313619219903
TIC4,-0.0012035866095318492
TIC5,-0.002554403997134269
J_A,0.000631329991669373
Wi_D,2.8032785232850454e-05
AVS_D,-0.000761748243969015
SpDiam_D,0.0005864156900294581
SpAD_D,-0.00031187062867115377
QW_L,-3.27329676275494e-05
TI1_L,-0.00039993670443134164
J_X,0.0006958433891246185
Wi_Dt,1.837629951260883e-05
AVS_Dt,-0.0006820924163834426
SpPos_Dt,-0.0001793932288741476
SpDiam_Dt,-0.0002790499944302251
SpAD_Dt,7.459287706555578e-05
Wi_D/Dt,0.0008825520703794288
H_D/Dt,5.729799770709716e-05
Wi_Dz(Z),-3.338173961814029e-05
AVS_Dz(Z),-0.0008881983302293083
SpAbs_Dz(Z),3.216477783290279e-05
SpDiam_Dz(Z),2.4463307206634263e-05
Wi_Dz(m),2.3442938621963902e-05
AVS_Dz(m),-0.0007919360014610583
SpDiam_Dz(m),2.0283819689834965e-05
Wi_Dz(v),2.6478419639985744e-05
AVS_Dz(v),-0.0007312496597709199
H_Dz(v),0.00041979971887236707
SpAbs_Dz(v),-5.0418031086557086e-05
SpDiam_Dz(v),0.0002948341356722887
SpAD_Dz(v),-0.00016475842103387485
Wi_Dz(e),-2.3924886883359863e-05
AVS_Dz(e),-0.00039266314035084555
SpAbs_Dz(e),-3.4802978984301695e-07
SpDiam_Dz(e),0.0004405621885154662
SpAD_Dz(e),-0.00021593420346029184
Wi_Dz(p),6.450944501484213e-05
AVS_Dz(p),-0.0003995361334980241
SpAbs_Dz(p),-2.8271628315199996e-05
SpDiam_Dz(p),0.0002574100602248695
SpAD_Dz(p),-0.00018388415068226738
Wi_Dz(i),-8.656779460401976e-05
AVS_Dz(i),-1.3091517663764236e-05
H_Dz(i),-5.461555205552492e-05
SpDiam_Dz(i),0.0004804409612871614
SpAD_Dz(i),-0.00026456814784537436
ATSC2m,0.01477696941760478
ATSC3m,-0.0035739730903452875
ATSC4m,0.0003021890316569067
ATSC6m,-0.001699985889973334
ATSC7m,-0.001354972922112755
ATSC8m,0.000704971314003838
ATSC6v,0.014785639562403278
P_VSA_LogP_1,-0.007696366008535766
P_VSA_LogP_2,-0.0038324368012903572
P_VSA_LogP_3,-0.003121617518307161
P_VSA_LogP_4,-0.0025733316450733987
P_VSA_LogP_6,0.00047284266689522834
P_VSA_LogP_7,0.0006242773668719728
P_VSA_LogP_8,-0.0003214102945709089
P_VSA_MR_2,7.554477656374513e-06
P_VSA_MR_3,-0.0008877072890573881
P_VSA_MR_5,-0.0004688210035042295
P_VSA_MR_6,-0.000980957852202309
P_VSA_MR_8,-0.002248012632379731
P_VSA_m_1,-0.0003082476612467996
P_VSA_m_2,-0.00024296419673710794
P_VSA_m_3,0.0022142886722079005
P_VSA_m_5,4.23353720176429e-05
P_VSA_v_2,0.0012996338789240899
