cid,Probability of nonactivity,Probability of activity
102155963,0.5054492,0.4945508
135401030,0.5060278,0.49397218
23519652,0.5062845,0.49371552
11749237,0.5063921,0.4936079
6475886,0.5067292,0.4932708
14862324,0.50679517,0.49320486
488940,0.50749314,0.4925069
136842757,0.50806105,0.49193895
511994,0.5095937,0.49040627
6479137,0.5095937,0.49040627
6479138,0.5095937,0.49040627
118034228,0.5099555,0.49004447
453201,0.5107901,0.4892099
483923,0.51104933,0.48895067
453474,0.51120603,0.48879397
6479136,0.5112381,0.4887619
15289164,0.5114845,0.48851547
72212336,0.5114845,0.48851547
10029973,0.51167095,0.48832902
11380753,0.5133431,0.48665693
14999717,0.5133879,0.48661205
122879,0.5134431,0.48655692
89341487,0.5134431,0.48655692
58859108,0.5134431,0.48655692
310061,0.5167994,0.4832006
23263710,0.5167994,0.4832006
21140290,0.51702917,0.4829708
91809617,0.5173915,0.4826085
71350138,0.5189083,0.48109168
11162398,0.5190612,0.48093882
447628,0.51924014,0.48075983
158855,0.51955557,0.4804444
139025107,0.5201638,0.47983623
15289165,0.52239776,0.47760227
146980,0.52496904,0.47503096
153103,0.52496904,0.47503096
86645138,0.5250048,0.4749952
10065192,0.52529645,0.47470355
92264741,0.52529645,0.47470355
476460,0.52559584,0.47440416
50989698,0.5277734,0.47222662
6450904,0.5277734,0.47222662
194102,0.527826,0.472174
490627,0.5296637,0.47033632
5271276,0.5296689,0.47033104
449623,0.5297621,0.4702379
174316,0.52981126,0.47018874
460321,0.5302726,0.4697274
92242775,0.5311011,0.4688989
3006169,0.5311011,0.4688989
10402220,0.5327927,0.4672073
511990,0.5334035,0.46659648
476461,0.5335703,0.4664297
135463029,0.5344691,0.4655309
135618603,0.53540516,0.46459487
5273017,0.5357677,0.46423236
6320191,0.5357677,0.46423236
12097726,0.5361167,0.46388328
446940,0.536669,0.463331
476449,0.5367019,0.46329805
3007780,0.5367409,0.46325907
490263,0.5371632,0.4628368
91603773,0.53788924,0.46211076
91541,0.5386883,0.4613117
44289445,0.5386883,0.4613117
92143407,0.5386883,0.4613117
490628,0.5391209,0.4608791
117951445,0.5420114,0.45798865
183205,0.54290175,0.45709822
183239,0.54290175,0.45709822
131879085,0.54338986,0.45661014
14862108,0.5448822,0.4551178
10515947,0.54606533,0.4539347
514804,0.546274,0.453726
481524,0.54629594,0.45370406
3007224,0.5469185,0.4530815
326808,0.54696095,0.45303905
44329981,0.54696095,0.45303905
10061135,0.54731727,0.45268276
