cid,GATS5m,GATS8p,MATS7i,nCt,nRCOOR
3011383,0.7033649911631901,0.3020629320751584,0.553283854953552,0.0,0.0
53357718,0.6065254699178456,0.3016007567603335,0.5913774780098824,0.0,0.0
135398513,0.6562440593994462,0.4528648076769554,0.5958042632960671,0.0,0.0
446727,0.4816430367088193,0.388422148129649,0.6097914544793871,0.0,0.0
168280858,0.5723324900821378,0.2782699791830869,0.3988063002537228,0.1428571428571428,0.0
5271150,0.4199782059397817,0.3159954609615418,0.5979497788191358,0.0,0.0
11517272,0.4945812700276971,0.3335320506878214,0.5862979161369747,0.0,0.0
135398740,0.6014979672533043,0.5207520149374895,0.7555227743714092,0.0,0.0
11513676,0.6798932898050817,0.3154742863975726,0.5246982339448428,1.0,0.0
137641103,0.6546070554153859,0.0086321070102402,0.539982843649807,0.0,0.25
490385,0.588753514864704,0.176708488559385,0.6194191335676653,0.0,0.0
480974,0.5922817163580968,0.2914387285168167,0.5799572197644638,0.0,0.0
11752151,0.6144516988440991,0.2351359691384253,0.3327539162407268,0.5714285714285714,0.25
10099039,0.5665246851322072,0.3161245729768825,0.5665017621540328,0.0,0.0
54728126,0.5418786102368037,0.3929757075558492,0.6014217057001123,0.1428571428571428,0.5
11675456,0.4989507724846461,0.3394478938230822,0.5845208162618106,0.0,0.0
60167178,0.5139701999099638,0.3731072449360618,0.665428568933975,0.0,0.0
490383,0.5621351237660139,0.2825517135451889,0.6648279891695713,0.0,0.0
490381,0.5426938467024919,0.310933833723393,0.6110451006115524,0.0,0.0
6479050,0.5135180731510639,0.3455304312454128,0.5536738835266654,0.0,0.0
136266873,0.6172044391603724,0.3223455312980942,0.5420075731916127,0.0,0.0
60167321,0.5201352477060933,0.3333689157317294,0.5373755111871203,0.0,0.0
493045,0.6972380669643081,0.3119437860660984,0.8117959521789762,0.0,0.0
162661376,0.5081911165565532,0.2989901905078687,0.394000349339319,0.1428571428571428,0.0
6482436,0.6273469001410628,0.2659107198129478,0.5478252237837699,0.4285714285714285,0.0
54728124,0.4829185620484709,0.3302922060426936,0.3899578979197216,0.1428571428571428,0.0
71452912,0.6656987992553636,0.2053958711593134,0.1940791964061571,0.0,0.5
145981055,0.5570994773600071,0.509319572544252,0.5438408900246815,0.1428571428571428,0.0
490387,0.4977787132514754,0.3491034672452257,0.6273686218015848,0.1428571428571428,0.0
162652514,0.6252552268783702,0.3686191907856983,0.6883991358053074,0.0,0.25
122192828,0.2374114188154124,0.281746546943421,0.4780507319295346,0.0,0.0
480975,0.4998340439832286,0.2965532058808411,0.5939419943338263,0.0,0.0
480979,0.5922817163580968,0.2786706581769833,0.5799572197644638,0.0,0.0
490384,0.5107846965439775,0.3486671004353262,0.7014052046756434,0.0,0.0
490382,0.6546541045718874,0.1732032249717914,0.5228405698116468,0.0,0.0
490380,0.6209891757702914,0.2531633169324113,0.5691009213958571,0.0,0.0
490386,0.5207337885533542,0.3444903333764826,0.6292254631937602,0.1428571428571428,0.0
490388,0.5399490412545862,0.3331112969782543,0.6267505165841739,0.1428571428571428,0.0
492112,0.5206685065200531,0.3509272395402557,0.5955939152695184,0.0,0.0
16756531,0.50237326034075,0.3466858714954224,0.5773793242323222,0.0,0.0
145977385,0.7391255333983842,0.2056612970451929,0.6883934740920974,0.0,0.0
137631493,0.6900214408211512,0.3994521054756931,0.7167514458756736,0.0,0.25
135908417,0.6761166008410867,0.3834518801470383,0.6787690125275516,0.0,0.25
44427747,0.5368620990021828,0.3131119173930291,0.4992431416722706,0.0,0.25
5284373,0.6578173567530516,0.3124302764341809,0.5175763602616106,1.0,0.0
137654983,0.7287983067085038,0.3887385805299268,0.6742652157835552,0.1428571428571428,0.25
90662952,0.4825154752686464,0.3876279379374776,0.6221321924085973,0.0,0.0
44378805,0.4956086039702255,0.7426572132905849,0.6129906355667379,0.0,0.0
145987204,0.5188780520335261,0.4504226066813526,0.5464726616904755,0.1428571428571428,0.0
11568210,0.4840764968822961,0.3329009196315646,0.5737980942036682,0.0,0.0
135398748,0.6016062093776553,0.4220422822949443,0.7435571874347092,0.1428571428571428,0.0
5272229,0.8518331444454985,0.2966397419913091,0.5770888094391571,0.0,0.0
5271149,0.4746368236427036,0.3229052448140656,0.5991223878212492,0.0,0.0
25258113,0.7092594995458165,0.3118526744229922,0.457080062956086,0.1428571428571428,0.0
137632270,0.592575336759506,0.2658221024455361,0.4821429490415468,0.0,0.0
16735489,0.401773860632767,0.2627958630763859,0.5912195200525862,0.0,0.75
15986984,0.5170698771066914,0.3562284577250094,0.6442018414560876,0.0,0.0
136123436,0.5809576635387399,0.3982269017971213,0.6548207125226395,0.0,0.0
122192833,0.237088217348712,0.2796382210362863,0.5627727463264708,0.0,0.0
64988,0.678739263656576,0.2187456027290282,0.6916475182635912,0.0,0.0
3006050,0.5836091189928083,0.4206525962871292,0.5912589276597303,0.0,0.0
11779856,0.5728367111978702,0.3709119931196034,0.5419165437098629,0.0,0.0
156015813,0.841012796956745,0.3327803127756873,0.5427475321305437,0.1428571428571428,0.25
492111,0.5268150912873462,0.3613944590477255,0.5752803755161561,0.0,0.0
10406438,0.4394663124602648,0.8304078655562813,0.5374946648175841,0.1428571428571428,0.0
44379067,0.5162010771354058,0.3509173935496809,0.522755966677883,0.0,0.0
6475209,0.4127362123340609,0.4526736601028402,0.5975117393775261,0.1428571428571428,0.0
483947,0.4956086039702255,0.7426572132905849,0.6129906355667379,0.0,0.0
16756867,0.5078782695253959,0.3003422299972319,0.5085097636698674,0.0,0.0
60167325,0.5772425378551685,0.3698389109381277,0.5283559796732886,0.0,0.0
46876177,0.4894917520877523,0.2961086770141759,0.3815543068686221,0.0,0.0
135908419,0.6646702793159208,0.3755157358487351,0.6337425665360006,0.0,0.25
14885958,0.5429839022048758,0.3747832596407016,0.6210413125678722,0.0,0.0
456214,0.5377554139308949,0.3176503758801745,0.6991008369874615,0.1428571428571428,0.0
145966378,0.7026161580978074,0.2702006300244703,0.4788423252500096,0.0,0.25
493475,0.5061223965835367,0.3264721402536887,0.5939494469733427,0.0,0.0
44378742,0.512638582095798,0.2529901960891479,0.5599344004335871,0.0,0.0
6479051,0.5121495454112263,0.336700853210423,0.5093518934289164,0.0,0.0
137633694,0.7546941030144385,0.3228190452112716,0.7141949084337252,0.0,0.5
484044,0.4305556441426277,0.2967167527190191,0.6739359388377966,0.0,0.0
71452911,0.6454941696116197,0.2151147660926749,0.33259071681388,0.0,0.5
16756643,0.5033900972037721,0.333273895890444,0.5913281828655751,0.0,0.0
472172,0.5581447750827963,0.3669733258376315,0.6531367373047829,0.0,0.0
456904,0.5203231642395408,0.2484509328644292,0.512021034020662,0.0,0.0
