cid,Activite,IsomericSMILES,Canonical_smiles
145966797,0,CCCCCCCCCCCCCCCOCCCOP(=O)(C/C=C/CN1C=C(C(=O)NC1=O)C)OCOC(=O)OC(C)C,CCCCCCCCCCCCCCCOCCCOP(=O)(C/C=C/Cn1cc(C)c(=O)[nH]c1=O)OCOC(=O)OC(C)C
44378614,0,C1[C@@H](SC(C1O)CO)N2C=C(C(=O)NC2=O)/C=C/Cl,O=c1[nH]c(=O)n([C@H]2CC(O)C(CO)S2)cc1/C=C/Cl
44379244,0,COCCC1=CN(C(=O)NC1=O)[C@H]2CC(C(S2)CO)O,COCCc1cn([C@H]2CC(O)C(CO)S2)c(=O)[nH]c1=O
44379223,0,CC(=O)C1=CN(C(=O)NC1=O)C2CC(C(S2)CO)O,CC(=O)c1cn(C2CC(O)C(CO)S2)c(=O)[nH]c1=O
44378895,0,C1[C@@H](SC(C1O)CO)N2C=C(C(=O)NC2=O)C=C(F)F,O=c1[nH]c(=O)n([C@H]2CC(O)C(CO)S2)cc1C=C(F)F
155531244,0,CC(C)(C)C1=CN(N=N1)C/C=C\2/C(=C(C(=O)O2)OCC3=CC=CC=C3)OCC4=CC=CC=C4,CC(C)(C)c1cn(C/C=C2\OC(=O)C(OCc3ccccc3)=C2OCc2ccccc2)nn1
44427743,0,C1=CC=C(C=C1)CCC#CC2=CN(C(=O)NC2=O)C/C=C\3/C(=C(C(=O)O3)OCC4=CC=CC=C4)OCC5=CC=CC=C5,O=C1O/C(=C\Cn2cc(C#CCCc3ccccc3)c(=O)[nH]c2=O)C(OCc2ccccc2)=C1OCc1ccccc1
11436561,0,C1/C(=C\N2C=NC3=C(N=CN=C32)N)/C1(CO)CO,Nc1ncnc2c1ncn2/C=C1\CC1(CO)CO
122192838,0,C1=CC=C(C=C1)COC2=CC=C(C=C2)NC(=O)CN3C(=O)C=CN(C3=O)CCCCCOC4=CC=C(C=C4)Br,O=C(Cn1c(=O)ccn(CCCCCOc2ccc(Br)cc2)c1=O)Nc1ccc(OCc2ccccc2)cc1
137632889,0,C[C@@H](C(=O)OCC1=CC=CC=C1)NP(=O)(OCC(CCN2C=NC3=C2N=C(NC3=O)/N=C/N(C)C)COP(=O)(N[C@@H](C)C(=O)OCC4=CC=CC=C4)OC5=CC=CC6=CC=CC=C65)OC7=CC=CC8=CC=CC=C87,C[C@H](NP(=O)(OCC(CCn1cnc2c(=O)[nH]c(/N=C/N(C)C)nc21)COP(=O)(N[C@@H](C)C(=O)OCc1ccccc1)Oc1cccc2ccccc12)Oc1cccc2ccccc12)C(=O)OCc1ccccc1
44378965,0,C1[C@@H](SC(C1O)CO)N2C=C(C(=O)NC2=O)[N+](=O)[O-],O=c1[nH]c(=O)n([C@H]2CC(O)C(CO)S2)cc1[N+](=O)[O-]
492104,0,C=CCCCCC1=CC2=CN(C(=O)N=C2O1)[C@H]3C[C@@H]([C@H](O3)CO)O,C=CCCCCc1cc2cn([C@H]3C[C@H](O)[C@@H](CO)O3)c(=O)nc2o1
6479049,0,C/C=C/C1=CC(=CC=C1)C2=CC3=CN(C(=O)N=C3O2)[C@H]4C[C@@H]([C@H](O4)CO)O,C/C=C/c1cccc(-c2cc3cn([C@H]4C[C@H](O)[C@@H](CO)O4)c(=O)nc3o2)c1
56945006,0,CC(C)(C)C(=O)OCOP(=O)(C/C=C/CN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,CC(C)(C)C(=O)OCOP(=O)(C/C=C/Cn1cnc2c(N)ncnc21)OCOC(=O)C(C)(C)C
137634608,0,CCOP(=O)([C@@H]1C[C@H](ON1C)CN2C3=CC=CC=C3C(=O)N(C2=O)C(=O)C4=CC=CC=C4)OCC,CCOP(=O)(OCC)[C@@H]1C[C@@H](Cn2c(=O)n(C(=O)c3ccccc3)c(=O)c3ccccc32)ON1C
70690161,0,COCCOC1=NC(=NC2=C1N=CN2/C=C\3/CC3(CO)CO)N,COCCOc1nc(N)nc2c1ncn2/C=C1/CC1(CO)CO
60167462,0,CC(CC#CC#CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)CO)O)O,CC(O)CC#CC#Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
44379306,0,CC(C1=CN(C(=O)NC1=O)C2CC(C(S2)CO)O)O,CC(O)c1cn(C2CC(O)C(CO)S2)c(=O)[nH]c1=O
42629966,0,C/C=C/C1=CC=CC=C1C2=CC3=CN(C(=O)N=C3O2)[C@H]4C[C@@H]([C@H](O4)CO)O,C/C=C/c1ccccc1-c1cc2cn([C@H]3C[C@H](O)[C@@H](CO)O3)c(=O)nc2o1
