cid,s4_pathLength,SHED_DL,mindO,phLevel3,NdssC,nROR,minssCH2,F01[C-O],P_VSA_LogP_6,MATS4e,F06[O-O],nCs,MaxsOH,P_VSA_charge_1,nR=Ct,F02[N-O],mindssC,VE1sign_B(p),MATS6e,ARR,VE2sign_Dt,CATS2D_09_DL,CATS2D_07_LL,NssCH2,MaxdssC,CATS2D_04_LL,CATS2D_07_DL,P_VSA_LogP_3,F03[C-N],nOxolanes,F04[O-O],H-054,CATS2D_07_DA,VE1_B(m),C-002,CATS2D_04_DD,QEDu,MATS6v,H-046,D/Dtr09,CATS2D_03_DA,B02[N-O],IC2,mindsN,Eig03_EA(dm),CATS2D_06_DA,GATS6e,C-040,nOHs,D/Dtr05,gmin,MATS4m,C-018,MaxdsCH,P_VSA_charge_12,C-041,C-019,GATS3m,F10[N-O],nCp,MATS5v,CATS2D_04_AL,nR=Cs,MATS4i,GATS4m,BIC5,SpPosA_B(i),MATS3v,SpMin1_Bh(p),C-009,AVS_B(m),SpMax1_Bh(i),GATS6m,F02[C-N],P_VSA_MR_5,minaasC,P_VSA_charge_2,MATS5m,VE2sign_B(e),B03[N-O],CATS2D_09_AA,P_VSA_MR_2,arLevel2,Eig02_EA(dm),N-073,JGI10,CATS2D_01_AA,B01[N-N],P_VSA_charge_10,nOHp,GATS7p,C-043,CATS2D_07_AP,N-072,CATS2D_03_AA,B01[C-O],MATS2p,CATS2D_05_DA,JGI2,JGI5,CATS2D_07_AA,C-005,MaxssCH2,CATS2D_05_AA,JGI3,F09[N-P],nPyridines,SpDiam_AEA(dm),F01[N-O],SpMax_AEA(bo),F04[N-S],O-060,B03[N-N],SM11_EA(dm),C-007,F07[N-P],VE1sign_A,C-026,JGI7,B10[C-F],P_VSA_LogP_5,GATS5m,GATS8p,nCt,nRCOOR
3011383,0.1875,0.2063404085784018,0.7627857681908742,0.0,0.0,0.0769230769230769,0.2485156926542878,0.1785714285714285,0.269119987137068,0.5983405270930751,0.3157894736842105,0.0208333333333333,0.7362592834566838,0.802890922489857,0.0,0.0909090909090909,0.645769959368592,0.5485023893570228,0.6401718207351067,0.3789473684210533,0.5978350973018486,0.0,0.0,0.05,0.5935494198144018,0.0,0.0,0.7613454609670349,0.2058823529411764,0.0,0.125,0.0,0.25,0.1696860329651306,0.0,0.3333333333333333,0.290829111613002,0.2601681335472232,0.0,0.0,0.2727272727272727,1.0,0.6320278897543883,0.0,0.1708897730440585,0.2857142857142857,0.3957234265547147,0.0,0.0,0.0,0.2327108769085235,0.637654168128755,0.0,0.0,0.1073221027165344,0.0,0.0,0.4672033979737443,0.6,0.0526315789473684,0.3379235946903881,0.0,0.0,0.4782067534640785,0.3036007632006852,0.8944163385886704,0.5528722452648536,0.5779307530557682,0.4860716468610797,0.0,0.2621493609240901,0.4034200707289095,0.33053610471994,0.088235294117647,0.0186801779742585,0.5343179472156688,0.0732597358381132,0.2910677573723825,0.4665418047316634,0.0,0.0,0.0559167763166175,0.0,0.2248204164946287,0.0,0.1900274833137023,0.0,0.0,0.1066911834094945,0.5,0.213608597358339,0.0,0.25,0.0,0.2777777777777778,1.0,0.2413098707421369,0.0,0.2513362770160348,0.4952153110047841,0.0909090909090909,0.0,0.4299085512560247,0.0526315789473684,0.5476718403547669,0.75,0.0,0.2222843487673322,0.0,0.4579723668486726,0.0,0.2,0.0,1.2055089535014518e-10,0.3333333333333333,0.3333333333333333,0.6106640969024112,0.0,0.6746628814762237,0.0,0.0942851579178102,0.7033649911631901,0.3020629320751584,0.0,0.0
53357718,0.25,0.4847767364606719,0.8200116373553687,0.75,0.0,0.0769230769230769,0.4050445092765996,0.0714285714285714,0.0192270239816153,0.6804814438044136,0.0,0.0416666666666666,0.7638682230606261,0.4708137953273832,0.0,0.0,0.645769959368592,0.1504183699734486,0.4886593547355942,0.6857142857142854,0.6489984708644276,0.1,0.0,0.0666666666666666,0.5935494198144018,0.0166666666666666,0.3076923076923077,0.6130808469773883,0.2647058823529412,0.0,0.375,0.0,0.375,0.1794474688412164,0.0208333333333333,0.0,0.4281882628657381,0.3299309025161729,0.0,0.1858199497171166,0.0909090909090909,0.0,0.7652096282698817,0.0,0.1708897730440585,0.0,0.4527085093773411,0.0,0.0,0.0655638486736474,0.2488453367141908,0.5751430835622823,0.0,0.0,0.0,0.0,0.0,0.5029471321264716,0.0,0.0,0.3760304945086982,0.119047619047619,0.0,0.380655167359112,0.3761453312532342,0.8534438935485694,0.5753104278592707,0.5536659829440431,0.5885171369440703,0.0,0.3807908582979862,0.7791062578857035,0.3832265366431988,0.2058823529411764,0.1059703338370307,0.6372778158115395,0.0732597358381132,0.3559550674144807,0.0421952476855325,1.0,0.375,0.0783497965815295,0.25,0.0,0.3333333333333333,0.3790641396295107,0.0,0.0,0.4214917207224354,0.0,0.3115589961684167,0.5,0.125,0.0,0.1666666666666666,1.0,0.3870834128920001,0.0,0.2743822139592521,0.4749350649350644,0.3636363636363636,0.0,0.6235561674301191,0.1052631578947368,0.5636856368563691,0.0,0.0,0.2259915961184118,0.0,0.6260536511501944,0.0,0.0,1.0,1.2055089535014518e-10,0.0,0.0,0.1712167039443258,0.0,0.4209515185629321,0.0,0.1358354175375905,0.6065254699178456,0.3016007567603335,0.0,0.0
135398513,0.0,0.0,0.8204613777659302,0.0,0.1538461538461538,0.0769230769230769,0.4917731060445403,0.1428571428571428,0.210127663293557,0.6424119422792329,0.0526315789473684,0.0,0.7022712978808925,0.3395244039024666,0.0,0.1818181818181818,0.5326018758909166,0.3684840011203154,0.5758844117217347,0.3529411764705889,0.2586322451983383,0.0,0.0,0.05,0.6013915710514423,0.0,0.0,0.1679718266378021,0.2941176470588235,0.0,0.0,0.0,0.25,0.2116114738427694,0.0,0.0,0.5412310244556676,0.200522059919838,0.0,0.0921447243727741,0.1818181818181818,1.0,0.5864291492934051,0.7652995690337067,0.4732231544411611,0.0952380952380952,0.3659577974685402,0.0909090909090909,0.0,0.0325866846896236,0.7936525966829931,0.7340365555479121,0.0,0.0,0.0303580479927306,0.25,0.0,0.4453467053975795,0.0,0.0526315789473684,0.2378522157067904,0.0,0.0,0.5872260451304712,0.2985853658122601,0.8893488082760276,0.6776035072361335,0.664573897724443,0.4238177255016579,0.0,0.2938474943457816,0.6453035798725324,0.4128748360291436,0.1470588235294117,0.3237926473325946,0.6119221955729023,0.162891235264986,0.2450256970461909,0.2621850429455573,1.0,0.0625,0.0449738830475872,0.0,0.2721271009207366,0.3333333333333333,0.0,0.0,0.0,0.3016765053663943,0.5,0.2785365764967238,0.0,0.0,0.0909090909090909,0.1666666666666666,1.0,0.7087066555135595,0.25,0.3926178904505436,0.5458741258741261,0.1818181818181818,0.0,0.5519948048424206,0.0526315789473684,0.5508745996550876,0.0,0.0,0.3498391860630827,0.0,0.5748717522064108,0.0,0.0,1.0,0.1690227932782574,0.3333333333333333,0.0,0.2737813645841913,0.0,0.551055713271825,0.0,0.2037376458516285,0.6562440593994462,0.4528648076769554,0.0,0.0
446727,0.2291666666666665,0.4620537808579995,0.8276580442272135,0.5,0.2307692307692307,0.0769230769230769,0.4057724455220354,0.2142857142857142,0.3269790510420298,0.5356276432407916,0.1052631578947368,0.0625,0.7916693816905804,0.377900733487489,0.125,0.3636363636363636,0.4644454386545568,0.3978832441479528,0.5950761720441583,0.0,0.0703652376733413,0.1,0.0294117647058823,0.0333333333333333,0.6689575722968472,0.0166666666666666,0.1538461538461538,0.3732355446764923,0.2058823529411764,1.0,0.375,0.5,0.25,0.2494170936990528,0.0208333333333333,0.3333333333333333,0.6576453273460788,0.3027857922892481,0.0,0.0,0.1818181818181818,1.0,0.7406542560377638,0.0,0.4791950998842734,0.0952380952380952,0.3678269625023008,0.0909090909090909,0.3333333333333333,0.0536552796432384,0.7280241547641632,0.6045208459806646,1.0,0.6251371434875508,0.0,0.25,0.0,0.1897257703610622,0.0,0.0526315789473684,0.4703772747591562,0.0952380952380952,0.0833333333333333,0.5062479433109508,0.0656370745039855,0.9651117068729508,0.4781648749643006,0.649686561359929,0.4857999159985646,0.5,0.4434665733150846,0.4863106462416908,0.2886823292537676,0.088235294117647,0.0748071763680078,0.5551672137653408,0.1673209056868872,0.4324811532787788,0.1327294091530356,0.0,0.0625,0.0899477660951743,0.0,0.2845913695632986,0.0,0.0,0.0,0.0,0.0,0.5,0.3558453443524747,0.0,0.0,0.1818181818181818,0.1111111111111111,1.0,0.441059824969487,0.125,0.5377643504531693,0.7038842975206615,0.0909090909090909,0.0,0.5419143735754982,0.0526315789473684,0.6268573030557892,0.0,0.0,0.3990313898817137,0.0,0.4221464229161267,0.0,0.0,0.0,0.3835657753584002,0.0,0.0,0.2143763012950062,0.0,0.5962435364493561,0.0,0.0273050453203213,0.4816430367088193,0.388422148129649,0.0,0.0
168280858,0.1875,0.1563767878114038,0.7831916272603117,0.0,0.1538461538461538,0.0769230769230769,0.2385152047120029,0.1428571428571428,0.210127663293557,0.5466248838087033,0.1578947368421052,0.0,0.7746346635913002,0.6504481482387144,0.0,0.0909090909090909,0.4958416705202066,0.3143409690917289,0.5460756691467997,0.2068965517241376,0.608737761080454,0.0,0.0,0.1,0.5676039997135361,0.05,0.1538461538461538,0.4651328636553553,0.3235294117647059,0.0,0.0,0.0,0.25,0.2644335926086878,0.0,0.0,0.2302801310113506,0.3258344178584384,0.0,0.1459787462956788,0.3636363636363636,1.0,0.6405648403566733,0.7653713136698438,0.4438268138381691,0.3333333333333333,0.5691026373663288,0.0909090909090909,0.0,0.0517213839312627,0.2213340132829609,0.6273931655887375,0.0,0.0,0.0303580479927306,0.25,0.0,0.4523660967225186,0.4,0.2631578947368421,0.4224138879785687,0.0,0.0,0.4449613001581319,0.2990908389225877,0.6448692890100897,0.4377746416183816,0.6374399560868538,0.5048008675356495,0.0,0.2125140753406196,0.6771293721412244,0.3621918453378263,0.2647058823529412,0.4689090232066297,0.5713024158079372,0.2292849819491521,0.4570997550641918,0.1075308688934127,1.0,0.0,0.3338600489943421,0.25,0.24903441661185,0.3333333333333333,0.1900274833137023,0.0,0.0,0.1662910875150818,0.5,0.3545629742252701,0.0,0.125,0.0909090909090909,0.3888888888888888,1.0,0.4087534658983408,0.125,0.5127109277135042,0.5414076246334308,0.0909090909090909,0.0,0.8663590228791442,0.1052631578947368,0.5859363856796462,0.5,0.0,0.3569404900832673,0.0,0.5937652505512543,0.0,0.0,1.0,0.1694292761844691,0.3333333333333333,0.6666666666666666,0.0721481830818767,0.0,0.5702303374411263,0.0,0.2305175941465586,0.5723324900821378,0.2782699791830869,0.1428571428571428,0.0
5271150,0.5104166666666656,0.9042543963507248,0.8612871237820339,0.5,0.2307692307692307,0.0769230769230769,0.404152922733774,0.2142857142857142,0.5110795405924414,0.6637743764350015,0.1052631578947368,0.2291666666666666,0.8074765999435426,0.377900733487489,0.125,0.3636363636363636,0.4641022032517589,0.3768918243510344,0.6252759394460892,0.0,0.1160726338920923,0.3,0.1764705882352941,0.1833333333333333,0.6459610230606769,0.15,0.2307692307692307,0.3359436532756042,0.2058823529411764,1.0,0.375,0.5,0.25,0.283116755801173,0.1875,0.3333333333333333,0.3986870709658818,0.3122981002293691,0.1414141414141414,0.0,0.1818181818181818,1.0,0.5936301039823295,0.0,0.4791950998842734,0.0952380952380952,0.3333082639521506,0.0909090909090909,0.3333333333333333,0.0897259329033567,0.7258790095004106,0.5720113515008817,0.5,0.5736033862764475,0.0,0.25,0.0,0.2887366873517267,0.0,0.1052631578947368,0.4359676176332593,0.1428571428571428,0.0,0.4748470285210714,0.2216053890835886,0.9264399242256952,0.2981233851849971,0.774111441350572,0.4986564510108322,0.5,0.3024738558776252,0.5003331937791078,0.2715043646523934,0.088235294117647,0.15738819427137,0.5551672137653408,0.1673209056868872,0.3925338215264329,0.0819302403720624,0.0,0.0625,0.1320550399682193,0.0,0.2845913695632986,0.0,0.2737913885617067,0.0,0.0,0.0391399523127945,0.5,0.3143565929342953,0.0,0.0,0.1818181818181818,0.1111111111111111,1.0,0.3613572374651886,0.125,0.3503715195558081,0.5180113636363632,0.0909090909090909,0.0,0.8922195224276901,0.0526315789473684,0.4783910997004713,0.0,0.0,0.4326682039087075,0.0,0.4542325444260315,0.0,0.0,0.0,0.3835657753584002,0.0,0.0,0.2276556696705487,0.0,0.4270167967825866,0.0,0.0273050453203213,0.4199782059397817,0.3159954609615418,0.0,0.0
11517272,0.5729166666666656,0.8804000918386641,0.8848762939220096,0.5,0.3076923076923077,0.1538461538461538,0.4156647307631854,0.25,0.5110795405924414,0.6832274000644005,0.1052631578947368,0.25,0.8121243923162064,0.4210367039742239,0.125,0.3636363636363636,0.4925813909518809,0.3470202254015105,0.6458480825102494,0.0,0.0118352106360071,0.1,0.2352941176470588,0.1833333333333333,0.7687077519711493,0.1833333333333333,0.1538461538461538,0.3732355446764923,0.2352941176470588,1.0,0.375,0.5,0.25,0.307135889679228,0.2083333333333333,0.3333333333333333,0.4904287513324876,0.3297734426900621,0.2121212121212121,0.2214145761059701,0.1818181818181818,1.0,0.5784463451948276,0.7671465486259305,0.510920790997327,0.0952380952380952,0.3444233556798919,0.0909090909090909,0.3333333333333333,0.1722218884775989,0.7321018845132016,0.7024734924223521,0.5,0.7358726943879864,0.0769640547238038,0.25,0.1666666666666666,0.3982185319101866,0.0,0.1052631578947368,0.4570008932152418,0.1666666666666666,0.1666666666666666,0.5560706048102999,0.3402828954687083,0.8936956392078453,0.3222144522484784,0.8157964334264614,0.4671316631529243,0.5,0.2103163331024222,0.5529257854250069,0.3063181796769095,0.088235294117647,0.1855354543660243,0.5551672137653408,0.0112956595758481,0.4543255424201526,0.0249219178183684,0.0,0.0625,0.06464813665572,0.0,0.3781168063873905,0.0,0.253017667844523,0.0,0.0,0.0,0.5,0.3283301379437558,0.0,0.0,0.0909090909090909,0.1111111111111111,1.0,0.3987911569358279,0.125,0.2381671701913383,0.495272727272727,0.1818181818181818,0.0,0.9165786952094434,0.0526315789473684,0.5155661312710688,0.0,0.0,0.4217408025258569,0.0,0.5229017194466858,0.0,0.2,0.0,0.3998305449726227,0.0,0.0,0.1928396240820868,0.0,0.3202197694623239,0.0,0.2654667881952091,0.4945812700276971,0.3335320506878214,0.0,0.0
135398740,0.0,0.0,0.826249973836362,0.0,0.1538461538461538,0.0769230769230769,0.4133545313185256,0.1785714285714285,0.210127663293557,0.5812213575980486,0.0526315789473684,0.0208333333333333,0.7268764517608419,0.5069067854028422,0.0,0.1818181818181818,0.5186683430256505,0.3733627512505203,0.5835094875981526,0.3157894736842104,0.5180382829812882,0.0,0.0,0.05,0.5885847809117617,0.0,0.0,0.3359436532756042,0.2941176470588235,0.0,0.125,0.0,0.5,0.2193083978296254,0.0,0.3333333333333333,0.4175914829299552,0.2311058550528264,0.0,0.1100670461199664,0.2727272727272727,1.0,0.6085715640591141,0.763048741984293,0.4732231544411611,0.0952380952380952,0.3264631314642698,0.0909090909090909,0.0,0.0389559306237177,0.7496340291428625,0.6155799108307446,0.0,0.0,0.0303580479927306,0.25,0.0,0.4460819543786516,0.0,0.1052631578947368,0.4214002615817329,0.0,0.0,0.4494596551277285,0.3873733173323371,0.8183500784783545,0.5990499024157518,0.6517598336038669,0.4360288855325716,0.0,0.275716081963659,0.6476404758032093,0.3555981064185515,0.1470588235294117,0.3070713709424515,0.595793579461682,0.162891235264986,0.3468734471678625,0.240182568518059,1.0,0.125,0.0449738830475872,0.0,0.2721271009207366,0.3333333333333333,0.0,0.0,0.0,0.3016765053663943,1.0,0.261073575707803,0.0,0.0,0.0909090909090909,0.2222222222222222,1.0,0.6364135486898329,0.375,0.4587497095049946,0.5498863636363635,0.3636363636363636,0.0,0.4851678432807926,0.1052631578947368,0.514905149051491,0.0,0.0,0.3499253211269606,0.0,0.5750979780405263,0.0,0.0,1.0,0.1690227932782581,0.3333333333333333,0.0,0.2887220614405644,0.0,0.6300704263798663,0.0,0.2037376458516285,0.6014979672533043,0.5207520149374895,0.0,0.0
11513676,0.5721153846153844,0.9874351255665396,1.0,0.26923076923077,0.8461538461538463,0.0,0.5171702788719499,0.4285714285714285,0.0,0.371184031626027,0.0,0.3541666666666666,0.9964913117101852,0.5356622280296855,0.0,1.0,0.3878110880374213,0.0391091442394329,0.5279430765622724,0.0,0.0088418974628625,1.0,0.8529411764705882,0.1,0.4370535599763499,0.05,1.0,0.2425556094395786,0.6470588235294118,0.0,0.125,0.0,0.25,1.0,0.1041666666666666,0.3333333333333333,0.0840448237943657,0.2602632824901683,0.5050505050505051,0.0,1.0,1.0,0.577653118676996,0.0,0.8144017860823346,0.5238095238095237,0.4766018236047554,1.0,0.3333333333333333,0.0,0.6170734721342983,0.6338559195847315,0.0,0.7573270718059935,0.8272707408163303,0.0,0.0,0.4989415420288854,0.0666666666666666,1.0,0.3846861679727243,0.9047619047619048,0.1666666666666666,0.3199709875481069,0.4518878060203612,0.7844094460555852,0.2801980397175683,0.664326143677635,0.645008249703682,0.0,0.1687278906906564,0.7076150001252968,0.3944479585097929,1.0,0.9949131400061126,0.5551672137653408,1.0,0.3446645834925497,0.0238799372425645,1.0,0.8125,1.0,0.0,0.5330483984042826,0.0,0.3868058775562414,0.0,0.0,0.0,0.0,0.3141573339987102,0.0,0.0,1.0,0.6666666666666666,1.0,0.5736983260487418,0.625,0.6734703902930226,0.4812834224598927,0.1818181818181818,0.8571428571428571,0.5845154915578469,1.0,0.6747967479674801,0.0,0.0,0.466424583261918,0.0,0.469319424858249,0.0,0.0,1.0,0.6394354436013886,0.0,0.0,0.088109237046058,0.0,0.477941035428614,0.0,0.0,0.6798932898050817,0.3154742863975726,1.0,0.0
137641103,0.0,0.1617817506854857,0.8241793683725817,0.0,0.0769230769230769,0.0769230769230769,0.2850759335304798,0.2857142857142857,0.4635624466561495,0.5032231132757179,0.2631578947368421,0.0,0.0,0.0,0.0,0.0909090909090909,0.476045827111051,0.5550339119603629,0.5948755415879252,0.2880000000000001,0.4716412350037337,0.0,0.0,0.0666666666666666,0.4375501219708392,0.0,0.0,0.3519323364227233,0.2058823529411764,0.0,0.375,0.0,0.25,0.1585538853834962,0.0,0.3333333333333333,0.1439126127848081,0.3893811077872588,0.0909090909090909,0.0,0.0,1.0,0.6032981365592933,0.0,0.4438268138381691,0.0,0.2568325906425155,0.0909090909090909,0.0,0.0,0.2325819519094234,0.6184918078275178,0.0,0.0,0.0,0.0,0.0,0.5342592785808611,0.6666666666666666,0.1578947368421052,0.3161997740626358,0.0238095238095238,0.0,0.5410792864774059,0.3648119415083451,0.7412733831549195,0.3093698764456727,0.3401841794271342,0.4776397699123023,0.0,0.1920338782911503,0.4030292705567211,0.2831494042249635,0.088235294117647,0.1560155843212674,0.543451180977154,0.0,0.2853471824906872,0.3459663240615804,0.0,0.0,0.1205649129723375,0.0,0.2382188087224018,0.0,0.2707829644783334,0.0,0.0,0.0,0.0,0.0244501552686106,0.0,0.25,0.0,0.2222222222222222,1.0,0.5212636102769765,0.0,0.4350453172205414,0.526859504132232,0.1818181818181818,0.0,0.4885775813996271,0.1052631578947368,0.593233674272227,0.75,0.0,0.5268099776364401,0.0,0.5101520578451932,0.0,0.4,0.0,0.6381379021454155,0.6666666666666666,0.3333333333333333,0.6062396516442462,0.0,0.4064496096522361,0.0,0.1885703158356213,0.6546070554153859,0.0086321070102402,0.0,0.25
