cid,s4_pathLength,SHED_DL,phLevel3,minssCH2,F04[N-O],P_VSA_LogP_6,SM12_AEA(dm),P_VSA_e_5,nR=Ct,VE1sign_B(p),VE2sign_Dt,SpMaxA_EA(dm),CATS2D_07_LL,NssCH2,MaxdssC,CATS2D_07_DL,F03[C-N],LOC,CATS2D_07_DA,CATS2D_02_AL,D/Dtr09,Eig03_EA(dm),gmin,s3_numAroBonds,CATS2D_02_DL,P_VSA_charge_12,F10[N-O],nCp,GATS4m,F02[C-N],MaxsCH3,arLevel2,CATS2D_07_AP,CATS2D_03_AA,F09[N-P],SpDiam_AEA(dm),SpMax_AEA(bo),VE1sign_A
3011383,0.1875,0.2063404085784018,0.0,0.2485156926542878,0.3,0.269119987137068,0.5017506543835589,0.498657178836311,0.0,0.5485023893570228,0.5978350973018486,0.1078655323474823,0.0,0.05,0.5935494198144018,0.0,0.2058823529411764,0.4914413973388763,0.25,0.1428571428571428,0.0,0.1708897730440585,0.2327108769085235,0.0,0.0833333333333333,0.1073221027165344,0.6,0.0526315789473684,0.3036007632006852,0.088235294117647,0.0,0.0,0.25,0.2777777777777778,0.75,0.2222843487673322,0.4579723668486726,0.6106640969024112
53357718,0.25,0.4847767364606719,0.75,0.4050445092765996,0.0,0.0192270239816153,0.5455081881248087,0.3305174751743721,0.0,0.1504183699734486,0.6489984708644276,0.0731944683786488,0.0,0.0666666666666666,0.5935494198144018,0.3076923076923077,0.2647058823529412,0.2131360998827797,0.375,0.0476190476190476,0.1858199497171166,0.1708897730440585,0.2488453367141908,0.3333333333333333,0.0,0.0,0.0,0.0,0.3761453312532342,0.2058823529411764,0.0,0.25,0.125,0.1666666666666666,0.0,0.2259915961184118,0.6260536511501944,0.1712167039443258
135398513,0.0,0.0,0.0,0.4917731060445403,0.5,0.210127663293557,0.45356196097761,0.2468954062762223,0.0,0.3684840011203154,0.2586322451983383,0.1798212534549486,0.0,0.05,0.6013915710514423,0.0,0.2941176470588235,0.378918627853577,0.25,0.0,0.0921447243727741,0.4732231544411611,0.7936525966829931,0.0,0.0,0.0303580479927306,0.0,0.0526315789473684,0.2985853658122601,0.1470588235294117,0.0,0.0,0.0,0.1666666666666666,0.0,0.3498391860630827,0.5748717522064108,0.2737813645841913
446727,0.2291666666666665,0.4620537808579995,0.5,0.4057724455220354,0.3,0.3269790510420298,0.5661136189103964,0.4593383801333741,0.125,0.3978832441479528,0.0703652376733413,0.2051575725974847,0.0294117647058823,0.0333333333333333,0.6689575722968472,0.1538461538461538,0.2058823529411764,0.288364566034831,0.25,0.238095238095238,0.0,0.4791950998842734,0.7280241547641632,0.0,0.1666666666666666,0.0,0.0,0.0526315789473684,0.0656370745039855,0.088235294117647,0.0,0.0,0.0,0.1111111111111111,0.0,0.3990313898817137,0.4221464229161267,0.2143763012950062
168280858,0.1875,0.1563767878114038,0.0,0.2385152047120029,0.4,0.210127663293557,0.6821738892557518,0.5429604490315252,0.0,0.3143409690917289,0.608737761080454,0.1054124589218665,0.0,0.1,0.5676039997135361,0.1538461538461538,0.3235294117647059,0.4015465202443271,0.25,0.1904761904761904,0.1459787462956788,0.4438268138381691,0.2213340132829609,0.0,0.0,0.0303580479927306,0.4,0.2631578947368421,0.2990908389225877,0.2647058823529412,0.8846511731873049,0.25,0.125,0.3888888888888888,0.5,0.3569404900832673,0.5937652505512543,0.0721481830818767
5271150,0.5104166666666656,0.9042543963507248,0.5,0.404152922733774,0.3,0.5110795405924414,0.5662966909301964,0.4593383801333741,0.125,0.3768918243510344,0.1160726338920923,0.1414879811017135,0.1764705882352941,0.1833333333333333,0.6459610230606769,0.2307692307692307,0.2058823529411764,0.579538548377844,0.25,0.238095238095238,0.0,0.4791950998842734,0.7258790095004106,0.0,0.1666666666666666,0.0,0.0,0.1052631578947368,0.2216053890835886,0.088235294117647,0.0,0.0,0.0,0.1111111111111111,0.0,0.4326682039087075,0.4542325444260315,0.2276556696705487
11517272,0.5729166666666656,0.8804000918386641,0.5,0.4156647307631854,0.3,0.5110795405924414,0.5877524479364792,0.41503510993816,0.125,0.3470202254015105,0.0118352106360071,0.1321156317394932,0.2352941176470588,0.1833333333333333,0.7687077519711493,0.1538461538461538,0.2352941176470588,0.5445697853648879,0.25,0.3809523809523809,0.2214145761059701,0.510920790997327,0.7321018845132016,0.0,0.0833333333333333,0.0769640547238038,0.0,0.1052631578947368,0.3402828954687083,0.088235294117647,0.9029696790850272,0.0,0.0,0.1111111111111111,0.0,0.4217408025258569,0.5229017194466858,0.1928396240820868
135398740,0.0,0.0,0.0,0.4133545313185256,0.5,0.210127663293557,0.4913495607204156,0.3805826775190919,0.0,0.3733627512505203,0.5180382829812882,0.160892700459691,0.0,0.05,0.5885847809117617,0.0,0.2941176470588235,0.3918806459252387,0.5,0.0,0.1100670461199664,0.4732231544411611,0.7496340291428625,0.0,0.0,0.0303580479927306,0.0,0.1052631578947368,0.3873733173323371,0.1470588235294117,0.0,0.0,0.0,0.2222222222222222,0.0,0.3499253211269606,0.5750979780405263,0.2887220614405644
11513676,0.5721153846153844,0.9874351255665396,0.26923076923077,0.5171702788719499,0.1,0.0,0.74744361522218,1.0,0.0,0.0391091442394329,0.0088418974628625,0.0567916787886751,0.8529411764705882,0.1,0.4370535599763499,1.0,0.6470588235294118,0.304649136993233,0.25,0.3809523809523809,0.0,0.8144017860823346,0.6170734721342983,0.0,0.4166666666666666,0.8272707408163303,0.0666666666666666,1.0,0.4518878060203612,1.0,0.7588787599220749,0.0,0.0,0.6666666666666666,0.0,0.466424583261918,0.469319424858249,0.088109237046058
137641103,0.0,0.1617817506854857,0.0,0.2850759335304798,0.3,0.4635624466561495,0.5675302277513599,0.3375220311153819,0.0,0.5550339119603629,0.4716412350037337,0.2342344125082865,0.0,0.0666666666666666,0.4375501219708392,0.0,0.2058823529411764,0.5991789999540198,0.25,0.238095238095238,0.0,0.4438268138381691,0.2325819519094234,0.0,0.0833333333333333,0.0,0.6666666666666666,0.1578947368421052,0.3648119415083451,0.088235294117647,0.6604283533073857,0.0,0.25,0.2222222222222222,0.75,0.5268099776364401,0.5101520578451932,0.6062396516442462
490385,0.25,0.2058215605391445,1.0,0.3806498246295831,0.3,0.4646040648051714,0.4934813886729171,0.4593383801333741,0.125,0.4194914690392858,0.0777290560881076,0.1953881643785564,0.0,0.0666666666666666,0.6297404819850267,0.1538461538461538,0.3235294117647059,0.4531791386964207,0.5,0.1428571428571428,0.0,0.4791950998842732,0.7301193459047771,0.0,0.0833333333333333,0.0,0.1333333333333333,0.1578947368421052,0.1634257268146925,0.1470588235294117,0.0,0.0,0.25,0.1111111111111111,0.0,0.3735370728156859,0.4343781597935114,0.1923118199649359
480974,0.0,0.0,0.0,0.4947536767759189,0.1,0.0,0.612217545200367,0.2175470250428959,0.0,0.5116822162879111,0.0476541939817529,0.083099482984786,0.5588235294117647,0.0333333333333333,0.4499460643804233,0.0,0.3235294117647059,0.1274489691842623,0.0,0.2857142857142857,0.0,0.3209141808578327,0.2684466014568262,0.0,0.0,0.0,0.0,0.0,0.4341970623138744,0.1470588235294117,0.0,0.0,0.0,0.0,0.0,0.490366931342405,0.9175002896085896,0.2306204272047726
