cid,Probability of nontox,Probability of tox
5273004,0.12108421800122282,0.8789157819987772
14258187,0.14400895411738102,0.855991045882619
121486770,0.15920799611173364,0.8407920038882664
6454537,0.1615121047247844,0.8384878952752156
54192124,0.1615121047247844,0.8384878952752156
73353418,0.1710929407645556,0.8289070592354444
3012586,0.17370155808677767,0.8262984419132223
469861,0.17370642473913955,0.8262935752608604
513636,0.18973562257079457,0.8102643774292054
513632,0.19108152422893243,0.8089184757710676
516053,0.19185394442502535,0.8081460555749747
10471224,0.19681137260102355,0.8031886273989765
125496047,0.19794730311927156,0.8020526968807284
5487206,0.19829113469321324,0.8017088653067868
393545,0.20156322713896546,0.7984367728610345
3007217,0.2017606568205621,0.7982393431794379
10859911,0.20296802037261252,0.7970319796273875
3012227,0.20304871692820758,0.7969512830717924
495012,0.2068336115488656,0.7931663884511344
131858474,0.2073469197167196,0.7926530802832804
92262645,0.2103856279450016,0.7896143720549984
131858479,0.2103856279450016,0.7896143720549984
3009936,0.21339679249302856,0.7866032075069714
14803116,0.21676466626011304,0.783235333739887
14803115,0.21676466626011304,0.783235333739887
131881813,0.2190935368117909,0.7809064631882091
194101,0.219164526591202,0.780835473408798
131882742,0.22439449526738664,0.7756055047326134
121486739,0.23426003491911784,0.7657399650808822
470067,0.2352888933557773,0.7647111066442227
123570113,0.23597143466863613,0.7640285653313639
492559,0.23605485867502618,0.7639451413249738
131858477,0.23844938653330272,0.7615506134666973
10265867,0.24093051165342994,0.7590694883465701
67785972,0.24093051165342994,0.7590694883465701
10356486,0.24093051165342994,0.7590694883465701
71341063,0.2409305116534305,0.7590694883465695
13989335,0.24365692801551408,0.7563430719844859
13989334,0.2436569280155142,0.7563430719844858
511720,0.24575527451797907,0.7542447254820209
5273008,0.2484060544885438,0.7515939455114562
470053,0.24979508160299368,0.7502049183970063
10924111,0.24989397234402766,0.7501060276559723
511719,0.25096460410170307,0.7490353958982969
14485380,0.2536368248393158,0.7463631751606842
72201,0.25363682483931616,0.7463631751606838
5273014,0.25398680300680343,0.7460131969931966
56987376,0.25663534509964103,0.743364654900359
22867782,0.2569160100724317,0.7430839899275683
21677555,0.2574354386412452,0.7425645613587548
21140467,0.25843131636854233,0.7415686836314577
121486746,0.25944289729573355,0.7405571027042664
87824027,0.2595321334406765,0.7404678665593235
296233,0.2595321334406765,0.7404678665593235
21732848,0.2597733806444513,0.7402266193555487
511666,0.2627701246775668,0.7372298753224332
13989345,0.2628451555452189,0.7371548444547811
3007223,0.2632996543993933,0.7367003456006067
513034,0.2641681716037233,0.7358318283962767
454925,0.2647437891745055,0.7352562108254945
121487869,0.2659276966443579,0.7340723033556421
11130341,0.2675816364864144,0.7324183635135856
21732849,0.2719636315382019,0.7280363684617981
512717,0.2721594912255787,0.7278405087744213
453864,0.2721870928730089,0.7278129071269911
492561,0.274974535598694,0.725025464401306
250899,0.2761352792471047,0.7238647207528953
466022,0.27685068241850597,0.723149317581494
470024,0.28108548341791506,0.7189145165820849
270861,0.28108548341791506,0.7189145165820849
5279426,0.2813591768515059,0.7186408231484941
6509777,0.28152667393606023,0.7184733260639398
14843513,0.2818514884193386,0.7181485115806614
10946114,0.2821986250964753,0.7178013749035247
14430362,0.2828338398715372,0.7171661601284628
452096,0.2828338398715372,0.7171661601284628
14330067,0.2830203883550234,0.7169796116449766
14330066,0.2830203883550234,0.7169796116449766
391259,0.28460183700433694,0.7153981629956631
470797,0.28460183700433694,0.7153981629956631
11778706,0.28472025874014273,0.7152797412598573
69626224,0.28472025874014273,0.7152797412598573
92132405,0.28472025874014273,0.7152797412598573
470065,0.2848731133867012,0.7151268866132988
21721736,0.28524458103530215,0.7147554189646979
50989994,0.2852608456322294,0.7147391543677706
3061100,0.2852608456322294,0.7147391543677706
54471624,0.28530722031421574,0.7146927796857843
14464884,0.2853300674940177,0.7146699325059823
3009937,0.28595006010707835,0.7140499398929216
134229959,0.2869783398086704,0.7130216601913296
70587122,0.2872827620444812,0.7127172379555188
21853097,0.28766136186524194,0.7123386381347581
5272754,0.2885528348381673,0.7114471651618327
67860541,0.2889710937282014,0.7110289062717986
451873,0.2889710937282014,0.7110289062717986
10490949,0.2891520219963475,0.7108479780036525
10705876,0.2891520219963475,0.7108479780036525
77844503,0.2892535240034044,0.7107464759965956
3010606,0.2893318114175524,0.7106681885824476
152488,0.2909329859177008,0.7090670140822992
121217040,0.2913867466647744,0.7086132533352256
260138,0.2913867466647744,0.7086132533352256
11121872,0.2918845760242087,0.7081154239757913
273017,0.29270154505382806,0.7072984549461719
53791036,0.2943587467239436,0.7056412532760564
121486926,0.29465150476402524,0.7053484952359748
176826,0.29571800825467287,0.7042819917453271
100327,0.296616937093364,0.703383062906636
324309,0.2966169370933641,0.7033830629066359
3011924,0.2966504135180311,0.7033495864819689
131863288,0.29691064734367534,0.7030893526563247
150669,0.29723736872734363,0.7027626312726564
73265308,0.2973005877169784,0.7026994122830216
13009312,0.2973005877169784,0.7026994122830216
147569,0.2973005877169784,0.7026994122830216
92132157,0.2973005877169784,0.7026994122830216
