,coef
P_VSA_ppp_ter,0.00018533475006009598
P_VSA_charge_1,5.669318456127998e-05
P_VSA_charge_2,0.0025394840566198584
P_VSA_charge_3,0.0013633418090839783
P_VSA_charge_4,0.0020233190489281918
P_VSA_charge_5,0.0006632566625824254
P_VSA_charge_7,-0.0004505084799550404
P_VSA_charge_8,0.0006314076723428824
P_VSA_charge_9,0.0003002250328396313
P_VSA_charge_10,0.0020488714799123025
P_VSA_charge_11,0.00022469310833524397
P_VSA_charge_12,0.0004925609146318459
P_VSA_charge_13,-0.00033391519194946105
Eta_epsi,0.0004956742548114886
Eta_C,0.00039327375337992575
Eta_R,-0.0007787602268525342
Eta_F,-0.00046978434375007756
nCrs,0.0161336868229638
nCbH,-0.00432133752459175
nImidazoles,-0.005022847157288653
nPyridines,0.0683928952378506
nPyridazines,-0.035460805102173615
nPyrimidines,0.037442468622266606
C-008,0.0022362567878474802
C-040,-0.032375050247494694
H-046,-0.010469290967037252
H-053,0.006307540784766307
SsCH3,0.001005242537814564
SdsCH,-0.012608013841403982
SaaCH,-0.004225152880601124
SsssCH,-0.017202350671300076
StsC,0.041201694546583276
SaasC,0.016143549213077896
SsOH,-0.0058128511421371
SssO,-0.004220709196823899
SsF,0.002739961030792852
NaasC,-0.02109674465781586
minsCH3,0.0014785555750769905
minsssCH,-0.0032047145114168212
minssssC,0.01734069290247192
minssNH,-0.007223026364247721
minsssN,-0.006008711885353905
mindsN,0.001764473164023908
minaaN,-0.0010397926967876218
mintN,0.0033615659375363575
mindO,0.002571162534823831
minaaO,0.00317277312337086
minsF,-0.0019283776665217228
minsCl,0.00660052355093271
MaxtN,0.001386445889062497
MaxsOH,0.005158115138320055
CATS2D_02_DA,-0.017774385616471253
CATS2D_03_DA,0.0074240088622124995
CATS2D_04_DA,0.0009924086817336862
CATS2D_06_DA,-0.009208624935780374
CATS2D_07_DA,-0.0011969596336831984
CATS2D_04_DL,-0.001868009518040342
CATS2D_05_DL,0.009832185253646753
CATS2D_06_DL,0.006113447820723231
CATS2D_07_DL,-0.003248353494494216
CATS2D_09_DL,0.008625142715505478
CATS2D_03_AA,-0.007675387026108206
CATS2D_04_AA,-0.006198112070986271
CATS2D_05_AA,-0.0021477023441235634
CATS2D_05_AP,0.011895272372251105
CATS2D_02_AL,-0.010074309062083784
CATS2D_04_AL,0.0078083713505054135
CATS2D_06_AL,-0.00294761301032095
CATS2D_08_AL,0.004134589323684276
CATS2D_09_AL,0.006655250183098144
CATS2D_02_PL,0.015490780073029549
CATS2D_03_PL,0.008340012597609086
CATS2D_05_PL,-0.0020980150281046865
CATS2D_04_NL,-0.004728738554230872
CATS2D_05_NL,-0.0007107650872954485
CATS2D_01_LL,-0.010495789525404526
CATS2D_02_LL,-0.0038479541618824647
CATS2D_03_LL,-0.005995859228889459
CATS2D_04_LL,-0.0022600617039211985
CATS2D_05_LL,-0.005149599368144923
CATS2D_06_LL,0.0033285450397929775
CATS2D_08_LL,0.016184173089201927
SHED_DD,0.0028611431373916085
SHED_DA,-0.002853746731740034
SHED_DL,0.010575453857586873
SHED_AA,0.009773311530427861
SHED_AL,0.012622934180583169
SHED_NL,-0.004658290397042236
SHED_LL,0.0028672584127309793
T(N..N),-0.0001875686617024817
T(N..O),-3.683752712396658e-05
T(N..S),-0.0011725639659707391
T(N..F),-0.0011573621360233294
T(N..Cl),-0.000685253272784063
T(O..O),9.420765892694293e-05
T(O..S),-0.000147160490369405
T(O..F),0.0002451411055334189
T(O..Cl),-0.0005725875112584637
T(O..Br),-0.0025026213654182885
T(S..S),0.0022623863417735764
T(S..F),0.004419951805840401
T(S..Cl),0.0051037345953711686
T(S..Br),0.0022604647307586053
T(F..F),-0.0010592009084353909
T(F..Cl),-0.0014849890513320657
T(Cl..Cl),-0.0013979626319679693
B02[N-S],-0.010261362206344821
