cid,Probability of nonactivity,Probability of activity
12803301,0.3296166,0.6703834
466400,0.32962322,0.6703768
6478491,0.33006787,0.6699321
21116879,0.3310985,0.6689015
93003,0.3310985,0.6689015
7065210,0.3310985,0.6689015
44629860,0.3310985,0.6689015
14481266,0.33176285,0.66823715
9562214,0.33225483,0.6677452
131876195,0.33225483,0.6677452
92236380,0.33225483,0.6677452
24011706,0.3325526,0.6674474
13009044,0.3325982,0.6674018
70385614,0.33327073,0.6667293
131881061,0.333297,0.666703
5272659,0.33381492,0.6661851
512135,0.3342685,0.6657315
92231367,0.33480132,0.6651987
18661222,0.33480132,0.6651987
452613,0.33581877,0.66418123
22861745,0.33595496,0.66404504
393623,0.3381487,0.6618513
116493392,0.3385346,0.6614654
193188,0.34039348,0.6596065
121486812,0.34069282,0.6593072
10890867,0.34069282,0.6593072
12358325,0.34069282,0.6593072
21854430,0.3408389,0.6591611
21829243,0.3410715,0.6589285
72501,0.34219968,0.6578003
516072,0.34224504,0.65775496
96124,0.34246528,0.6575347
92229496,0.34246528,0.6575347
15926747,0.34259945,0.65740055
10517504,0.3427006,0.6572994
21140106,0.34279394,0.65720606
393545,0.343844,0.656156
131885191,0.3446582,0.6553418
10946143,0.344684,0.655316
102381544,0.34496355,0.65503645
470030,0.34499615,0.65500385
10565387,0.34503633,0.6549637
121486927,0.3450923,0.6549077
12315238,0.34576654,0.65423346
11098172,0.34640044,0.65359956
10521478,0.34667182,0.6533282
12939901,0.34667182,0.6533282
12939902,0.34667182,0.6533282
96544,0.34667182,0.6533282
46783463,0.34667182,0.6533282
2777912,0.34667182,0.6533282
7070208,0.34667182,0.6533282
688019,0.34667182,0.6533282
44283163,0.34667182,0.6533282
513636,0.34815896,0.65184104
3010797,0.34831387,0.65168613
21854428,0.34931576,0.65068424
9842606,0.34932506,0.65067494
6475236,0.35015523,0.64984477
472814,0.35015523,0.64984477
10358690,0.3505872,0.6494128
92263388,0.3513533,0.6486467
21140717,0.3513533,0.6486467
15289165,0.35201687,0.64798313
12358322,0.35304528,0.6469547
6560357,0.35304528,0.6469547
447916,0.35304528,0.6469547
6420052,0.35304528,0.6469547
644174,0.35304528,0.6469547
5702004,0.35304528,0.6469547
53384930,0.35304528,0.6469547
638036,0.35304528,0.6469547
60961,0.35304528,0.6469547
70889269,0.35304528,0.6469547
7040251,0.35304528,0.6469547
54732806,0.35304528,0.6469547
191,0.35304528,0.6469547
160739,0.35304528,0.6469547
21704,0.35304528,0.6469547
12358321,0.35304528,0.6469547
453548,0.35304528,0.6469547
448378,0.35304528,0.6469547
12358320,0.35304528,0.6469547
490433,0.3541947,0.6458053
128924,0.35449874,0.64550126
139025871,0.35450798,0.645492
171798,0.3545304,0.6454696
516053,0.35453647,0.6454635
10265835,0.35499853,0.6450015
71339247,0.35508418,0.6449158
71352264,0.35508418,0.6449158
92236337,0.3558061,0.6441939
3006170,0.3558061,0.6441939
71380931,0.3559928,0.6440072
92236430,0.3566978,0.6433022
13830713,0.35738844,0.64261156
102175,0.35738844,0.64261156
11957602,0.35738844,0.64261156
5284425,0.35738844,0.64261156
51397494,0.35738844,0.64261156
1869,0.35738844,0.64261156
101382,0.35738844,0.64261156
40467934,0.35738844,0.64261156
44633776,0.35768336,0.64231664
92021270,0.35768336,0.64231664
131843075,0.35856855,0.64143145
3002879,0.35942006,0.64057994
490626,0.35956347,0.64043653
10085225,0.35970098,0.640299
16760678,0.35970098,0.640299
24906265,0.35970098,0.640299
504745,0.36089784,0.63910216
373953,0.36159796,0.63840204
490625,0.36163044,0.63836956
155290824,0.3617611,0.6382389
22880825,0.361794,0.638206
121486766,0.36200452,0.6379955
513124,0.36251467,0.6374853
513122,0.36251467,0.6374853
7045516,0.36251467,0.6374853
5894,0.36251467,0.6374853
3010380,0.3632738,0.6367262
92233554,0.3632738,0.6367262
59035009,0.36370468,0.6362953
6509777,0.36552548,0.6344745
162660830,0.36567736,0.63432264
23279550,0.3657928,0.6342072
3007224,0.36581415,0.63418585
44329981,0.36601847,0.6339815
326808,0.36601847,0.6339815
470053,0.3686301,0.6313699
236526,0.36978698,0.630213
13831573,0.36978698,0.630213
3012227,0.3697999,0.6302001
23518344,0.36999446,0.63000554
10492175,0.3704837,0.6295163
451616,0.37101895,0.62898105
71340337,0.37101895,0.62898105
451908,0.3710569,0.6289431
7116198,0.37157458,0.6284254
6561296,0.37157458,0.6284254
7075199,0.37157458,0.6284254
12358319,0.3719226,0.6280774
9993207,0.3722512,0.6277488
44308761,0.3729487,0.6270513
472635,0.3729487,0.6270513
10923602,0.37301183,0.6269882
40527693,0.37314147,0.62685853
122619,0.37314147,0.62685853
11821635,0.37314147,0.62685853
2305663,0.37314147,0.62685853
13873708,0.37314147,0.62685853
905903,0.37314147,0.62685853
57349456,0.37430733,0.62569267
132663,0.3750645,0.6249355
356796,0.37517655,0.62482345
134229912,0.37646848,0.6235315
495537,0.37744033,0.62255967
10469766,0.3779511,0.6220489
129674064,0.378505,0.621495
155903793,0.37853277,0.62146723
10611929,0.37909853,0.62090147
11032861,0.38035816,0.61964184
10892274,0.38061786,0.61938214
516084,0.380737,0.619263
516079,0.380737,0.619263
49784136,0.38075614,0.61924386
512718,0.38087553,0.6191245
490627,0.38130987,0.61869013
22880824,0.38208294,0.61791706
10107793,0.38216215,0.61783785
92249433,0.38216215,0.61783785
92231363,0.38237417,0.61762583
