cid,IC2,F05[N-O],SHED_AL,F08[C-N],CATS2D_03_DA,CATS2D_07_AL,F02[N-O],MaxdO,SM12_AEA(ri),gmax,T(N..O),SpMaxA_EA(dm),CATS2D_05_AL,CATS2D_06_AL,nLevel9,JGI5,H-052,GATS5v,P_VSA_LogP_2,CATS2D_08_AA,P_VSA_charge_12,P_VSA_LogP_5,nRCONHR,H-047,MATS4e,NaasC,P_VSA_s_5,QEDu,SM5_X,GATS4i,F05[O-O],NRS,mindO,C-008,SssNH,SAscore,AVS_B(v),C-026,nPyridines,H-046,SpMAD_A,GATS1e,P_VSA_charge_2,Eta_sh_p,C-006,SpMin1_Bh(i),C-034,F07[O-O],GATS6e,SpMAD_EA(dm),CATS2D_03_DL,P_VSA_charge_13,CATS2D_05_DL,C-040,MATS2i,CATS2D_02_DL,ESOL,CATS2D_07_AA,C-027,JGI3,gmin,BIC3,H-049,MATS4v,H-048,MATS2m,MATS7p,NaaNH,MATS6i,NaasN,CATS2D_02_AL,SsCH3,F08[O-O],GATS2m,SaasC,CATS2D_06_DA,Eta_sh_x,minaasC,SpDiam_AEA(dm),O-060,SaaO,MATS5m,F09[O-O],CATS2D_00_NN,SpMAD_AEA(ed),F06[N-O],C-025,CATS2D_02_DA,JGI8,C-032,P_VSA_s_1,GATS6v,F02[N-N],CATS2D_02_AA,nArOR,C-005,CATS2D_03_DD,CATS2D_09_DA,minssCH2,F04[N-F],GATS7m,C-018,CATS2D_05_LL,MATS3i,Eta_betaS_A,P_VSA_LogP_6,MATS1v,MATS4i,MATS8e,F04[N-Cl],MATS1i,F04[S-F],B08[C-C],nRCOOH,JGI2,SpMAD_AEA(ri),MCD,P_VSA_MR_8,SHED_PP,CATS2D_07_DD,nR=Ct,nPyrimidines,F10[C-Cl],GATS5e,MATS7i
395575,0.6329122265658342,0.0,0.5876927037236631,0.0,0.0,0.3068181818181818,0.0,0.8835810835353567,0.7693957641235687,0.8602311589361613,0.0,0.189826871249161,0.2058823529411764,0.3235294117647059,0.4974554707379128,0.5474027847092804,0.1724137931034483,0.2142356745819712,0.0092747437972308,0.1521739130434782,0.0,0.035255155278471,0.0,0.0423728813559322,0.3193191776079659,0.0909090909090909,0.0,0.2310334171837418,0.1509402154032227,0.8359984646814885,0.1739130434782608,0.09375,0.8473104949930282,0.054054054054054,0.0,0.4713652823644388,0.6650792479448473,0.1333333333333333,0.0,0.4032258064516129,0.6322034504765774,0.3693118260340671,0.0392156862745096,0.6509434841354881,0.0,0.6719040346537919,0.0,0.1612903225806451,0.4864756370767082,0.5787562078457476,0.0,0.0,0.0,0.0980392156862745,0.347196985745862,0.0,0.918553986885064,0.15625,0.0,0.8692351024096047,0.5912085900123345,0.6854566653226595,0.0,0.254665071360742,0.0,0.8641884489056182,0.3227202424139557,0.0,0.557894000859492,0.0,0.2125,0.551914166884452,0.1521739130434782,0.2947577692076942,0.1691423828895959,0.0,0.6218503937007864,0.5689517692001316,0.7388971897525647,0.75,0.0,0.6473089104196879,0.1724137931034483,0.0,0.7475813385982046,0.0,0.0476190476190476,0.0,0.474557611506141,0.0,0.0,0.4979285588279213,0.0,0.238095238095238,0.1666666666666666,0.0,0.0,0.0,0.7045818803522437,0.0,0.3468915821837853,0.0,0.04,0.3871183908556036,0.5918785890073834,0.0,0.4962336580722061,0.1847657749730613,0.594624602942753,0.0,0.5375120674232241,0.0,1.0,0.0,0.6570901304663719,0.9006833576435711,0.608695652173913,0.0,0.0,0.0,0.25,0.0,0.0,0.6662685099899445,0.3867647052541367
15604702,0.6875081641922847,0.0491803278688524,0.2808693103059365,0.0052083333333333,0.024390243902439,0.0227272727272727,0.0681818181818181,0.7552585376547949,0.7571823327291292,0.706171199741004,0.0002559733787686,0.1793790980156697,0.088235294117647,0.0735294117647058,0.0,0.4192773273100508,0.0344827586206896,0.5433361269917019,0.0343406615194357,0.0,0.0280546255197839,0.0098191271519611,0.0,0.0423728813559322,0.3327344930208447,0.0681818181818181,0.1106099190896393,0.7773382781742305,0.0738634969856609,0.7480446214911919,0.0434782608695652,0.03125,0.7686053351146741,0.0,0.0290227937200568,0.2277030032782446,0.6739498766091705,0.1333333333333333,0.0,0.0483870967741935,0.5568738303543679,0.3103244774898224,0.0196078431372548,0.6968777944785863,0.0416666666666666,0.626016426320164,0.5,0.0,0.7681815091640762,0.0971573964628451,0.048780487804878,0.2500000000000005,0.064516129032258,0.0196078431372549,0.2212353324206289,0.0491803278688524,0.9510938855704822,0.0,0.0,0.7787980618943425,0.2735898077002228,0.890782030631138,0.0,0.6157481069242495,0.0,0.417690265810251,0.2623939122596567,0.25,0.4844177257981851,0.0,0.0,0.0638696989175618,0.0,0.3223528000090601,0.158378853294586,0.0,0.3023082223242996,0.4975918994631674,0.7916168882785595,0.0,0.0,0.5569886143227881,0.0,0.0,0.5132853781448474,0.0,0.0238095238095238,0.0576923076923076,0.2923076923076921,0.0,0.0116286470192146,0.5985618126390515,0.0,0.0476190476190476,0.0,0.0,0.024390243902439,0.0,0.7191194342361688,0.0,0.3479468512259541,0.0,0.01,0.5854661976175554,0.4386792452830195,0.0396815110037519,0.6802091798864385,0.4647541769260288,0.5824795558811532,0.0,0.6222922034195292,0.0,1.0,0.0,0.3944959323505538,0.6817492133501286,0.45,0.2023268233504686,0.0,0.0,0.0,0.0,0.0,0.6012753045407586,0.3097120419871349
16045493,0.7440369611850548,0.0327868852459016,0.6443509122197828,0.0364583333333333,0.048780487804878,0.0568181818181818,0.0,0.0,0.7246607665205411,0.8506367967720925,0.0005439434298832,0.2370509743772678,0.0588235294117647,0.0588235294117647,0.0,0.392120710911775,0.0,0.5123519477126031,0.0042012882054058,0.0217391304347826,0.0,0.0446814501068146,0.0,0.0762711864406779,0.6939228687701035,0.2045454545454545,0.0464897260273972,0.4673909669630978,0.1091997752341958,0.5616990542050893,0.0,0.09375,0.0,0.0,0.0,0.2397112709065932,0.7932373936679591,0.4,0.0384615384615384,0.0,0.7285701633536394,0.4192176409748677,0.0129936999042435,0.3906359967083355,0.0416666666666666,0.5176755065091085,0.25,0.0,0.5410539086839603,0.2552821642321617,0.024390243902439,0.0,0.032258064516129,0.0196078431372549,0.13200149655797,0.0327868852459016,0.9281859075272958,0.0,0.0,0.5751410468576079,0.7154827097812081,0.9514664151598168,0.0,0.5077839147015655,0.0,0.4019770166315685,0.3089892782005399,0.25,0.5484901228295518,0.0,0.1125,0.0,0.0,0.336815063156534,0.1674472467340453,0.0,0.0,0.3042233664029273,0.602826490328503,0.25,0.0,0.572986554445669,0.0,0.0,0.4099808488665648,0.0,0.0476190476190476,0.0192307692307692,0.3916733440170954,0.0,0.0,0.4798499829153057,0.1333333333333333,0.0476190476190476,0.3333333333333333,0.0,0.0,0.0,0.6417952901168411,0.0,0.4063284857696549,0.0,0.05,0.4966180625768066,0.5943396226415085,0.1622987015164833,0.6063792199865474,0.4916893831444013,0.667621344275756,0.0,0.6615952072822981,0.0,1.0,0.0,0.2615689155036543,0.6185691750186368,0.7,0.0,0.0,0.0,0.0,0.0,0.0666666666666666,0.4313046971016751,0.3426445614970715
146894788,0.8377002447626396,0.0491803278688524,0.9431297737530748,0.0833333333333333,0.024390243902439,0.1022727272727272,0.0454545454545454,0.8430061367092717,0.6646321681739542,0.8115181708211145,0.0014238519194003,0.1610584766341126,0.1029411764705882,0.1029411764705882,0.4541984732824425,0.3632112046098225,0.1034482758620689,0.4815453733157218,0.0431242277435489,0.0,0.0459856967614218,0.0275708279721617,0.0277777777777777,0.1864406779661017,0.4037245272428822,0.1363636363636363,0.0486301369863013,0.1612555849703568,0.4544481558980493,0.7227259773401786,0.0,0.125,0.7909158257054512,0.027027027027027,0.0402129536630679,0.3643198150736628,0.677254810948269,0.0666666666666666,0.0384615384615384,0.1774193548387097,0.8273603718283824,0.4270727551422026,0.0416520050065553,0.2167623421354763,0.125,0.7314068906486577,0.25,0.0,0.4440007492185536,0.2986368575366643,0.0609756097560975,0.0,0.0806451612903225,0.0196078431372549,0.2102113233942183,0.0491803278688524,0.9208205925838258,0.0,0.0192307692307692,0.3677814946062308,0.7846446390646314,0.8647508855746544,0.0192307692307692,0.500463968471085,0.0,0.3922002643762852,0.294731156305069,0.25,0.5514051736220152,0.0,0.15,0.1804339928432431,0.0,0.6065611346651081,0.2318553750378861,0.0133333333333333,0.0841950959488272,0.6969221849941495,0.5727740546748108,0.25,0.0,0.5583336061137516,0.0344827586206896,0.0,0.4059702667603495,0.0294117647058823,0.0714285714285714,0.0384615384615384,0.2857850172215844,0.0,0.0,0.545046896491393,0.0666666666666666,0.0476190476190476,0.3333333333333333,0.3333333333333333,0.024390243902439,0.0253164556962025,0.8200509445772268,0.0,0.3455075295941029,0.0,0.12,0.4917356785184618,0.5443596949016472,0.0613037374179023,0.4745763989569883,0.4139613214465889,0.5567719365953929,0.0,0.4716721005931453,0.0,1.0,0.0,0.3381467859232629,0.5533658875998233,0.617021276595745,0.0,0.0,0.0,0.0,0.0,0.0,0.4817468318724801,0.3457673578857033
69480289,0.7471042898908675,0.0327868852459016,0.5844834033045749,0.0208333333333333,0.048780487804878,0.1477272727272727,0.0454545454545454,0.7907443079700885,0.6019276488128973,0.7634319418445994,0.0004079575724124,0.1356931246153045,0.1176470588235294,0.1911764705882352,0.0,0.4790607324458656,0.0689655172413793,0.4635180113898657,0.0309285899714121,0.0217391304347826,0.0,0.0136191822757775,0.0277777777777777,0.0847457627118644,0.6201897595717326,0.1136363636363636,0.0251712328767123,0.6675284292601673,0.1790314467771219,0.5052484584446668,0.0217391304347826,0.09375,0.8623168995712127,0.0,0.0327320588817443,0.1967797971734708,0.6414870148306124,0.1333333333333333,0.0384615384615384,0.0967741935483871,0.7449966706956794,0.3968974536231329,0.0392156862745096,0.3306525405218203,0.0416666666666666,0.6075112802954119,0.0,0.064516129032258,0.5297162825526963,0.1978945486781944,0.048780487804878,0.500000000000001,0.032258064516129,0.0392156862745098,0.175652427428527,0.0655737704918032,0.9423889050935116,0.09375,0.0192307692307692,0.5896560688683226,0.7094991988707742,0.8475319539461019,0.0192307692307692,0.645343151703097,0.0,0.4669162941438275,0.3411352674927023,0.0,0.4379867699121585,0.0,0.075,0.0523063931171167,0.0,0.4593947352463445,0.1801892512169476,0.0,0.1313185899567676,0.4315161678721549,0.553344914093785,0.0,0.0,0.487613797890405,0.0,0.0,0.5040343122439583,0.0,0.0476190476190476,0.0192307692307692,0.2993475274725273,0.0,0.0,0.5731683807444885,0.0,0.0476190476190476,0.0,0.1666666666666666,0.024390243902439,0.0,0.5415978421825773,0.0,0.3959603844565675,0.0,0.05,0.4397549963266,0.5496043822276337,0.1211291338500911,0.5852412087004175,0.5460949288316144,0.5140295335499686,0.0,0.5487742910616042,0.0,1.0,0.0,0.3295494441193679,0.6274580227906927,0.67741935483871,0.0,0.0,0.0625,0.25,0.0,0.0,0.5360598285634385,0.3660477790582941
135433653,0.7659371498271319,0.0491803278688524,0.1846782287592687,0.0260416666666666,0.048780487804878,0.0,0.0454545454545454,0.7165897067446243,0.4470172876643378,0.6597466336504108,0.0010398918512474,0.2144271528989346,0.0,0.0147058823529411,0.0,0.5018194105500289,0.0,0.6220370431318936,0.0629021879872449,0.0652173913043478,0.0091741574115065,0.0097392106602896,0.0,0.0338983050847457,0.587731642453969,0.0454545454545454,0.0251712328767123,0.3372385183421308,0.2095112913514573,0.625444332712409,0.0,0.0625,0.7841653135663239,0.054054054054054,0.0279185052339061,0.300418202294084,0.5668779753051747,0.0,0.0,0.0,0.7105640543357588,0.5648869452416346,0.0351334036846046,0.3561958665637584,0.0416666666666666,0.0822842185905825,0.0,0.0,0.328193594026919,0.3080415775221518,0.0,0.2500000000000005,0.0,0.0196078431372549,0.3124816605492039,0.0,0.964290056536902,0.125,0.0,0.5809115624114628,0.7323937789848702,0.9521586891845716,0.0192307692307692,0.5103215805774732,0.1666666666666666,0.3639321712591621,0.2729855022299611,0.0,0.6089041440411741,0.0384615384615384,0.0375,0.0,0.0,0.49251216977669,0.1569813555306662,0.04,0.0,0.5756484642731703,0.4662094628029432,0.0,0.0,0.3682795814355241,0.0344827586206896,0.0384615384615384,0.4818185847811362,0.0441176470588235,0.0,0.0576923076923076,0.4591900887573966,0.0,0.0,0.5983869691118686,0.4,0.1904761904761904,0.0,0.0,0.0,0.0632911392405063,0.5240688341410962,0.0,0.3998689464004745,0.0,0.0,0.4193974144997842,0.8247978436657675,0.2456020513783955,0.4892969323490782,0.5190086018487382,0.6125788934111098,0.0,0.3782228712879221,0.0,0.0,0.0,0.333528379169105,0.6220465056649589,0.666666666666667,0.0,0.1475768388388802,0.0,0.0,0.0,0.0,0.5097259772092788,0.2420129831891799
135869512,0.7497039357473196,0.0655737704918032,0.5443813829851193,0.03125,0.048780487804878,0.125,0.0681818181818181,0.7264046430685362,0.6591546986429175,0.7585229604253092,0.0005119467575372,0.2331314195259655,0.1617647058823529,0.1323529411764706,0.0,0.4777948270092474,0.0,0.4420172368929341,0.0051769270260281,0.0217391304347826,0.0469779106665089,0.0157074388458662,0.0,0.0762711864406779,0.4439756747663336,0.1590909090909091,0.0,0.4796672861998954,0.1603752402457104,0.6527225419382631,0.0,0.09375,0.7949058147870827,0.0,0.0,0.2106699470578926,0.7698420374736692,0.1333333333333333,0.0769230769230769,0.0,0.7645165660945268,0.3907070422133999,0.0351334036846046,0.3283408623358991,0.0,0.6638424628208002,0.0,0.064516129032258,0.5120600129395035,0.2066655790952875,0.0121951219512195,0.2667570173315998,0.0161290322580645,0.0196078431372549,0.1684144569501619,0.0,0.9379781880975254,0.09375,0.0192307692307692,0.4400072939460254,0.7719398936020306,0.8703036055815254,0.0192307692307692,0.4094001588254554,0.0,0.629032014390656,0.302164551395123,0.0,0.4989521016305048,0.0,0.1,0.1029137933891544,0.0,0.3494775478082609,0.1637006089830839,0.0,0.0,0.4273884455236024,0.5037624778409866,0.125,0.4623217449373067,0.6221515605070432,0.0,0.0,0.4404305424110635,0.0147058823529411,0.0476190476190476,0.0,0.3464774408284016,0.0,0.0,0.5525076340932755,0.0666666666666666,0.1904761904761904,0.0,0.1666666666666666,0.0,0.0,0.7187333294328235,0.0,0.4185288162114604,0.0,0.01,0.5122695314953745,0.6421600520494459,0.1399778515768731,0.402614326813798,0.434227936643057,0.4959204789802499,0.0,0.4718018295978291,0.0,1.0,0.0,0.3162286615615539,0.6455350275816909,0.724137931034483,0.0,0.0,0.0,0.0,0.0,0.0,0.4069711530792483,0.3706408512366149
6321070,0.8821652959322726,0.0327868852459016,0.6887285777095468,0.0364583333333333,0.073170731707317,0.1363636363636363,0.0909090909090909,0.8454970070851188,0.6372509477583705,0.8145086304151801,0.0019677953492836,0.1751251254733785,0.1764705882352941,0.2058823529411764,0.4152671755725189,0.4128489910535877,0.0862068965517241,0.6558588787637202,0.0756767783957023,0.1521739130434782,0.0601806658042688,0.0270365225796226,0.0,0.1864406779661017,0.3030920116125368,0.1136363636363636,0.0251712328767123,0.1992825247007096,0.3885427381285817,0.5771886405413035,0.1521739130434782,0.09375,0.8784536711658744,0.081081081081081,0.0331076040823576,0.3298772598590681,0.5415976892400272,0.2666666666666666,0.0,0.0967741935483871,0.7029057054396901,0.4566005487737301,0.0,0.2998595764049615,0.25,0.641768767278224,0.0,0.0,0.4322511994387286,0.3322509797391951,0.024390243902439,0.0,0.1290322580645161,0.0,0.2748433954877167,0.0163934426229508,0.9444875676007722,0.0,0.0,0.4720861293577579,0.2372379136282325,0.9036165335613096,0.0,0.6841126531700029,0.5,0.435148561889611,0.2883072332543121,0.0,0.577792446607032,0.0,0.1125,0.1303607820131819,0.1521739130434782,0.567197488562357,0.1864427712815494,0.04,0.1538753799392098,0.5366242628239315,0.7903500456021679,0.5,0.0,0.4502771165723901,0.1379310344827586,0.0,0.3943587090502254,0.088235294117647,0.0238095238095238,0.0384615384615384,0.3748251748251767,0.0,0.0116286470192146,0.5225512288669512,0.0,0.2857142857142857,0.5,0.0,0.024390243902439,0.0379746835443038,0.5239693739549406,0.0,0.3386047830332868,0.0,0.02,0.4616025837207027,0.6162092624356765,0.3406796603877843,0.461858861585577,0.6050736067088052,0.6518868022754742,0.0,0.440543826183334,0.0,1.0,0.0,0.3379169104739609,0.6163111543222599,0.522727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.4359486220946065,0.3246247183326088
135993375,0.6690303581688832,0.0163934426229508,0.5060018442868495,0.0104166666666666,0.048780487804878,0.0227272727272727,0.0227272727272727,0.708129654225449,0.5828710368903085,0.7412301742179873,0.0001919800340764,0.1891769382786392,0.0735294117647058,0.0441176470588235,0.0,0.5006194856391966,0.0,0.4937532825139592,0.0089859076326684,0.0217391304347826,0.0,0.0178399034424501,0.0,0.1101694915254237,0.2857842788598338,0.0909090909090909,0.0,0.9697121757226992,0.0738634969856594,0.515543551418519,0.0,0.09375,0.7749074639572017,0.0,0.0,0.1861471388419876,0.6633492590143053,0.1333333333333333,0.0384615384615384,0.0,0.765201881295873,0.3921487594953824,0.0326970849525589,0.3065530614580743,0.0833333333333333,0.4824071538948562,0.0,0.032258064516129,0.3709482386471304,0.2417516367760605,0.0,0.2500000000000005,0.0161290322580645,0.0196078431372549,0.2256065651240985,0.0163934426229508,0.949774236127596,0.0625,0.0192307692307692,0.4346211132155274,0.7617681896016283,0.8777005912147655,0.0192307692307692,0.4438562901955739,0.0,0.4279879593443878,0.2744408194170425,0.0,0.6812522252515282,0.0,0.075,0.0558025892759156,0.0217391304347826,0.4722715293695366,0.1768693840687056,0.0,0.0,0.441629584435352,0.526368528214221,0.125,0.0,0.5608402631837048,0.0,0.0,0.4135151146236138,0.0,0.0238095238095238,0.0,0.4307852564102555,0.0,0.0,0.515332170563402,0.0,0.0476190476190476,0.1666666666666666,0.1666666666666666,0.0,0.0,0.7222774304052414,0.0,0.3493390564777355,0.0,0.03,0.3941773737709974,0.5734208367514351,0.1211291338500911,0.4413463843876294,0.5109756364880108,0.695250426629092,0.0,0.46650020912064,0.0,1.0,0.0,0.373317729666472,0.6083488029127979,0.739130434782609,0.0,0.0,0.0,0.25,0.0,0.0,0.3986347418137256,0.3143104388400924
6478493,0.8140158583681723,0.0,0.7129115834349439,0.0416666666666666,0.024390243902439,0.1931818181818181,0.0909090909090909,0.8380137775914062,0.827659740742217,0.8055245035609451,0.0010558901874205,0.2268336733152509,0.2352941176470588,0.25,0.3893129770992364,0.4176834991552458,0.0344827586206896,0.6036988509242186,0.0069945139359765,0.0652173913043478,0.056109251039568,0.0064362985356128,0.0,0.2457627118644068,0.3602343075637101,0.0909090909090909,0.0229270849548567,0.1240284859532367,0.0,0.60018774831668,0.0434782608695652,0.09375,0.8261626155618393,0.054054054054054,0.0304045828896457,0.3052802193151531,0.7078955889967347,0.2,0.0,0.1290322580645161,0.6111471213858808,0.244410012178069,0.0172774693682865,0.375596816976127,0.125,0.8209725298722264,0.0,0.0,0.4958753622108782,0.161240028364608,0.0609756097560975,0.0,0.0967741935483871,0.0,0.2103842714299376,0.0655737704918032,0.9261050192168664,0.0,0.0,0.4816277814089631,0.2492978376690389,0.8439334031001355,0.0,0.6302679882070484,0.0,0.3446028528175613,0.2985794320850931,0.0,0.5816530183493281,0.0,0.025,0.1668757112664498,0.0652173913043478,0.6571775727880607,0.1822978414920714,0.0533333333333333,0.2701662561576357,0.5546609798852958,0.8059115679197002,0.0,0.0,0.4758606377756668,0.0,0.0,0.3750534746206304,0.0441176470588235,0.0714285714285714,0.0384615384615384,0.3491055456171741,0.0,0.0232572940384293,0.5138640429151206,0.0,0.1904761904761904,0.0,0.1666666666666666,0.0,0.0379746835443038,0.5516623714556618,0.0,0.3758546246608212,0.0,0.11,0.4946058846513678,0.3456443195503804,0.0,0.609646408981587,0.5713695580165356,0.619575769590829,0.0,0.5866360724515961,0.0,1.0,0.0,0.3363304461055387,0.6205566256086787,0.468085106382979,0.0842377348895874,0.0,0.0,0.0,0.0,0.0,0.5657792261616816,0.3536879516192641
