cid,Probability of non-cal27,Probability of cal27
131881061,0.07076954640355748,0.9292304535964425
73353418,0.07170244928296166,0.9282975507170383
131858474,0.07436381144255821,0.9256361885574418
131858479,0.0760294011092012,0.9239705988907988
92262645,0.0760294011092012,0.9239705988907988
419564,0.08169574250845979,0.9183042574915402
21144431,0.08169574250845979,0.9183042574915402
287302,0.09264460969812283,0.9073553903018772
92247166,0.09264460969812305,0.907355390301877
92970665,0.09661649645070447,0.9033835035492955
89971724,0.10604425473846268,0.8939557452615373
395997,0.11548905884578631,0.8845109411542137
15516023,0.11674734721596303,0.883252652784037
3055694,0.11768914869523772,0.8823108513047623
137218731,0.12185667812978862,0.8781433218702114
93476651,0.12273195866806363,0.8772680413319364
10019125,0.12273195866806363,0.8772680413319364
3042985,0.12301631065362995,0.87698368934637
131881305,0.12380380425804993,0.8761961957419501
21140290,0.12421281177145593,0.8757871882285441
97480,0.1254707312218244,0.8745292687781756
23617998,0.1254707312218244,0.8745292687781756
18881,0.1254707312218244,0.8745292687781756
6566064,0.1254707312218244,0.8745292687781756
7099911,0.1254707312218244,0.8745292687781756
6561296,0.12576544109619248,0.8742345589038075
7116198,0.12576544109619248,0.8742345589038075
7075199,0.12576544109619248,0.8742345589038075
22867782,0.1266904247117011,0.8733095752882989
136415743,0.1267278350748916,0.8732721649251084
447069,0.12683895082983165,0.8731610491701683
5470408,0.12762395008607053,0.8723760499139295
3010378,0.13012824094473907,0.8698717590552609
92339825,0.13012824094473907,0.8698717590552609
282734,0.13033555762532512,0.8696644423746749
9562214,0.13330450057048204,0.866695499429518
92236380,0.13330450057048204,0.866695499429518
131876195,0.13330450057048204,0.866695499429518
278404,0.13339158664707518,0.8666084133529248
21854430,0.13375016314409094,0.8662498368559091
21818173,0.13387428065597884,0.8661257193440212
92243772,0.13387428065597884,0.8661257193440212
92249433,0.13495994060943028,0.8650400593905697
10107793,0.13495994060943028,0.8650400593905697
472656,0.13535336926330932,0.8646466307366907
472638,0.13535336926330932,0.8646466307366907
11737492,0.1354828540273405,0.8645171459726595
240186,0.1358740350934421,0.8641259649065579
7124539,0.1358740350934422,0.8641259649065578
69078418,0.1358740350934422,0.8641259649065578
512724,0.13661734281365012,0.8633826571863499
21117205,0.1384590302660832,0.8615409697339168
129371096,0.1384590302660832,0.8615409697339168
23519663,0.1385241174582108,0.8614758825417892
494271,0.1386407082735639,0.8613592917264361
21854431,0.13930134709677222,0.8606986529032278
96124,0.13943398749982017,0.8605660125001798
92229496,0.13943398749982017,0.8605660125001798
70580535,0.14009329488403577,0.8599067051159642
355280,0.14015129360828382,0.8598487063917162
512128,0.1402689720701603,0.8597310279298397
447199,0.14064849223167264,0.8593515077683274
506143,0.14069944404613888,0.8593005559538611
72968,0.14069944404613888,0.8593005559538611
18661222,0.14081163686615972,0.8591883631338403
92231367,0.14081163686615972,0.8591883631338403
53965194,0.14139804121561672,0.8586019587843833
21139624,0.14139804121561672,0.8586019587843833
14408979,0.14141774655536,0.85858225344464
512137,0.14146288393929662,0.8585371160607034
515221,0.14157909896900833,0.8584209010309917
139592726,0.14256482647847446,0.8574351735215255
137699081,0.14256482647847446,0.8574351735215255
24011706,0.1430989617362768,0.8569010382637232
169061,0.14379617662547362,0.8562038233745264
21829243,0.14445414129991152,0.8555458587000885
92301827,0.14478612126293122,0.8552138787370688
6482628,0.14478612126293122,0.8552138787370688
49784438,0.14480016051977573,0.8551998394802243
54471624,0.1449573932225381,0.8550426067774619
125507539,0.14510864262592704,0.854891357374073
3006170,0.1452079632396328,0.8547920367603672
92236337,0.1452079632396328,0.8547920367603672
11173824,0.14577917096562687,0.8542208290343731
484808,0.1458081959506039,0.8541918040493961
160067,0.14589936951316573,0.8541006304868343
57375625,0.14590048845947023,0.8540995115405298
150669,0.14702560156623978,0.8529743984337602
21144466,0.14724177458890642,0.8527582254110936
92243924,0.14724177458890642,0.8527582254110936
489877,0.14737792431162544,0.8526220756883746
12315238,0.1477866329420342,0.8522133670579658
53462020,0.14782196973335204,0.852178030266648
127187,0.14782196973335227,0.8521780302666477
510983,0.14828708808454727,0.8517129119154527
124156,0.14828708808454727,0.8517129119154527
10017261,0.14828708808454727,0.8517129119154527
98140,0.14902194042915218,0.8509780595708478
482505,0.14902194042915218,0.8509780595708478
11808175,0.14902194042915218,0.8509780595708478
11087275,0.14902194042915218,0.8509780595708478
11832914,0.14902194042915218,0.8509780595708478
472657,0.14909746983666017,0.8509025301633398
472639,0.14909746983666017,0.8509025301633398
11779021,0.14942529219622225,0.8505747078037778
146157777,0.1496564402369247,0.8503435597630753
92221397,0.1496564402369247,0.8503435597630753
92221399,0.1496564402369247,0.8503435597630753
65086,0.1496564402369247,0.8503435597630753
13712878,0.1497577359767327,0.8502422640232673
56671903,0.15078774204534484,0.8492122579546552
92271256,0.15097190445138453,0.8490280955486155
498018,0.151249532895668,0.848750467104332
71407380,0.15131480662184893,0.8486851933781511
127260544,0.15131480662184893,0.8486851933781511
21769748,0.1513782003086922,0.8486217996913078
5273516,0.15166096481099822,0.8483390351890018
5343018,0.15184196368954606,0.8481580363104539
129360192,0.15184196368954606,0.8481580363104539
97627,0.15184196368954606,0.8481580363104539
129370145,0.15184196368954606,0.8481580363104539
131858477,0.1518666161354103,0.8481333838645897
21157833,0.15247435907816198,0.847525640921838
92236341,0.15340841706670216,0.8465915829332978
21769737,0.1542349187398212,0.8457650812601788
131858473,0.15450662443885255,0.8454933755611475
10892274,0.15531118420052703,0.844688815799473
57377074,0.15569620843871224,0.8443037915612878
49784136,0.1559033880160723,0.8440966119839277
54165040,0.1559106416305851,0.8440893583694149
5273519,0.15594966955099776,0.8440503304490022
118796809,0.15606266426783422,0.8439373357321658
472658,0.1562844851613936,0.8437155148386064
472640,0.1562844851613936,0.8437155148386064
131858702,0.1563690485965089,0.8436309514034911
5271015,0.15705277727874323,0.8429472227212568
70684952,0.15708200687856066,0.8429179931214393
72212535,0.15708200687856066,0.8429179931214393
96410,0.15708200687856066,0.8429179931214393
49784203,0.15733719419604508,0.8426628058039549
21157436,0.15740694163041413,0.8425930583695859
102504521,0.1574675233781918,0.8425324766218082
21140595,0.15753854035202497,0.842461459647975
49784134,0.15780163797552338,0.8421983620244766
360644,0.15781786231850148,0.8421821376814985
21140410,0.15784837787580186,0.8421516221241981
53322921,0.15795107010811493,0.8420489298918851
121486764,0.1581352510435986,0.8418647489564014
6595184,0.15817298739806396,0.841827012601936
7043952,0.15817298739806396,0.841827012601936
167821,0.15834002140691417,0.8416599785930858
446940,0.15838533690061374,0.8416146630993863
126567501,0.15869345056019113,0.8413065494398089
13009595,0.15873127891172512,0.8412687210882749
92247204,0.15938682704674967,0.8406131729532503
131881064,0.15938682704674967,0.8406131729532503
54489690,0.15955722207563416,0.8404427779243658
15450711,0.15988643419063964,0.8401135658093604
160751,0.15988643419063964,0.8401135658093604
163199084,0.15988643419063964,0.8401135658093604
57216635,0.15988643419063964,0.8401135658093604
11032861,0.1601788612489674,0.8398211387510326
101516,0.16024091033199794,0.8397590896680021
10265835,0.1602482247049315,0.8397517752950685
451911,0.1603125177084178,0.8396874822915822
65269,0.1603125177084178,0.8396874822915822
131881293,0.1604299274452935,0.8395700725547065
