cid,MATS3e,CATS2D_04_DL,MATS1i,SHED_DA,O-056,nRNHO,CATS2D_00_DA,P_VSA_charge_3,MATS1m,GATS3e,QED,GATS6v,CATS2D_03_DL,minsssN,MATS2e,F07[N-O],P_VSA_charge_4,VE2sign_H2,B08[N-O],GATS8v,CATS2D_07_LL,GATS1p,C-030
1401,0.3934202775376036,0.5714285714285714,0.513454133202337,0.4040706953996742,0.0,0.0,0.0,0.5383203454290859,0.4387908902792085,0.7555968569385091,0.3635921864320987,0.6343620181369427,0.2307692307692307,0.9899405119597304,0.5269228709519447,0.0,0.1351210967661009,0.339506171322508,1.0,0.6218188300199695,0.2,0.6528885401937001,0.0
2375,0.446612084498625,0.0714285714285714,0.7973728581937093,0.3391573438660477,0.125,0.0,0.125,0.5434277632531717,0.6035467549383149,0.4615689778461848,0.5460196291982664,0.8192752436489067,0.2307692307692307,0.0,0.7193623072922599,0.0,0.6113036187391753,0.7381256370900707,1.0,0.5815486356200186,0.025,0.4753598462680525,0.0
3218,1.0,0.1428571428571428,0.8492767727898721,0.1717874319790822,0.0,0.0,0.25,0.0,0.1779142610705773,0.0805083487279948,0.6120317433156978,0.6458806722779158,0.2307692307692307,0.0,0.3895289967031516,0.0,0.0,0.160792239070813,0.0,0.6011147655793362,0.15,0.5734710480195551,0.0
3385,0.480187838612064,0.0,0.5185597274608886,0.1049698145713096,0.0,0.0,0.0,0.2305339090484761,0.0,0.6844244576887658,0.5654243134100772,0.0,0.0,0.0,0.439702410234301,0.0,0.1204267584843323,0.8115391456269272,0.0,0.0,0.0,0.4509140557559167,0.0
4091,0.0,0.0,0.0,0.1130524479553492,0.0,0.0,0.0,0.0,0.0167211744424867,1.0,0.317065441779528,1.0,0.0,0.6152715584153685,0.9999999999999998,0.0,0.1351210967661009,0.8233706115304611,0.0,0.0,0.0,0.8418128899936546,0.0
4261,0.5887806668973747,0.5,0.7815578945080336,0.4329153452442825,0.0,0.0,0.0,0.2305339090484761,0.3021551801820795,0.446818100733186,0.59352894411898,0.5960749873107682,0.6153846153846154,0.0,0.6355620813258226,0.0833333333333333,0.0,0.1123303344752836,0.0,0.6268753016609149,0.25,0.3678476047279481,0.0
5291,0.4965908355551619,0.4285714285714285,0.5741405726695894,0.3061173763019474,0.0,0.0,0.0,0.3077864363806097,0.4671595782087834,0.6312763188165692,0.4317085426558064,0.7078612029443617,0.3846153846153846,0.9639831179708024,0.3963835270807941,0.0833333333333333,0.0,0.248199503765989,1.0,0.6466608911050593,0.325,0.4600339277217357,0.0
5311,0.6787996793007629,0.2857142857142857,0.8657838917047895,0.2845528042955681,0.125,0.5,0.125,0.1326886992823538,0.2207916544346506,0.4050260315600433,0.4474764656473805,0.6686276518701816,0.3846153846153846,0.0,0.5090013678598238,0.0,0.0,0.6663352028741713,0.0,0.605428721702901,0.125,0.4965592294405862,0.0
5746,0.5439417444098055,0.2142857142857142,0.7448800195026632,0.3625958393366717,0.0,0.0,0.0,0.2305339090484761,0.3307702920009474,0.5417869613474103,0.3431077003864744,0.6167589414756528,0.2307692307692307,0.7461793614799033,0.4199615630821967,0.1666666666666666,0.0,0.1081333763515242,1.0,0.6780037486449617,0.0,0.4897849958411043,0.0
6253,0.7321869205816046,0.0,0.5823781284717333,0.4086545670635537,0.375,0.0,0.375,0.2305339090484761,0.1054766729108664,0.5151801676792723,0.3884674045936772,0.7334824237740863,0.0,0.4159170397660002,0.2314281480528069,0.1666666666666666,0.1351210967661009,0.416253413603672,1.0,0.7414084700497259,0.0,0.5722030400890492,0.0
13342,0.7120746737610557,0.5714285714285714,0.6726552086746993,0.5996115673572114,0.25,0.0,0.25,0.4610678180969513,0.4813959147834626,0.4063597103462809,0.1387452595799796,0.6498988289880688,0.6923076923076923,0.797388533610677,0.3816396730255729,0.4166666666666666,0.0,0.1913243496656307,1.0,0.6692334078582495,0.7000000000000001,0.540282043304618,0.0
24360,0.8370897302603078,0.0,0.7066140093162657,0.1717874319790822,0.125,0.0,0.125,0.3844271272387805,0.3933200969185471,0.3182372957711031,0.8927979763270157,0.6480069105889412,0.2307692307692307,0.6742444534771116,0.4550871705358992,0.1666666666666666,0.0,0.0945826774828789,0.0,0.6797491485352288,0.175,0.3556504027660394,0.0
31703,0.5480302555967734,0.5714285714285714,0.9243174994668274,0.6093241237058719,0.375,0.0,0.625,0.0,0.1955051328454609,0.5945168123882144,0.1687337874994866,0.6534815666927979,0.6153846153846154,0.0,0.2271291250936448,0.0,0.0,0.2177419115216092,1.0,0.6702095097435218,0.15,0.4051434536283769,0.0
36314,0.6036035417090305,0.5714285714285714,0.7930770543890289,0.6748424742022985,0.375,0.0,0.375,0.4610678180969513,0.3544922317837213,0.6287291029839331,0.0746259183590647,0.6321322211282707,0.8461538461538463,0.0,0.4695507863296271,0.0,0.0,0.1238165569706599,1.0,0.5768411938420969,1.0,0.4809747845517214,0.0
36462,0.6881499825115756,0.0714285714285714,0.691565199868721,0.5962875187771198,0.25,0.0,0.375,0.0,0.4315396840362638,0.5097852019131605,0.3432851835579495,0.6881489831131039,0.1538461538461538,0.0,0.1999099571110889,0.0,0.0,0.0346502608155072,0.0,0.6704388332855352,0.0,0.5822456215301044,0.0
60750,0.8316206904865081,0.0,0.6114162086947903,0.4137027343130034,0.25,0.0,0.25,0.2305339090484761,0.1125278817905184,0.4897018255515984,0.5839582987946793,0.7930079323903126,0.0,0.2145872095751323,0.3400041418871881,0.0833333333333333,0.3759746137347647,0.2537482447438725,1.0,0.8074443495537209,0.0,0.5906290892005215,0.0
65110,0.5633882907117189,0.0,0.5601816192709625,0.5142101077905578,0.5,0.0,0.5,0.3396706042551126,0.7666442246741294,0.5644823624258467,0.1844949202615934,0.7403917853044907,0.0,0.0,0.6184376380741805,0.5,0.0,0.2291685898464434,1.0,0.5415756348452699,0.0,0.9041263684370467,0.0
68085,0.557863582623018,0.0,0.6362023087435713,0.0,0.0,0.0,0.0,0.1538932181903053,0.5064098386267138,0.5150646532510613,0.6755455154720819,0.8930819772406473,0.0,0.0,0.2283194234350755,0.0,0.0,0.1875048925115655,0.0,0.0,0.0,0.4026767952160383,0.0
82146,0.5933676647587381,0.1428571428571428,0.8581952614754852,0.0598198582706338,0.0,0.0,0.125,0.2305339090484761,0.332905825892435,0.0802889958966014,0.7683564906749696,0.8290893737508245,0.1538461538461538,0.0,0.7038931255503698,0.0,0.0,0.0759755134284236,0.0,0.5686554800294737,0.525,0.4042777307499006,0.0
91466,0.5462118238282924,0.0,0.6015730453325501,0.0,0.0,0.0,0.0,0.0,0.6191313834565808,0.566131235346281,0.7598470488026445,0.6033316069092347,0.0,0.9361647170073216,0.4067243319435083,0.0,0.0,0.1711558216693333,0.0,0.4559426597384108,0.025,0.6205592230090413,0.0
92577,0.5332649582757801,0.2857142857142857,0.8433474103374422,0.5022724806844487,0.25,0.0,0.375,0.0,1.0,0.3412227449387714,0.1987282963060147,0.6855389643511461,0.4615384615384615,0.0,0.7962925608163067,0.0,0.7134257715847199,0.3524630331685483,1.0,0.5835035721953203,0.1,0.5570156568509195,0.0
