cid,Probability of not Antimicrobial,Probability of Antimicrobial
483939,0.0050010301471236085,0.9949989698528764
130583,0.011967705556410024,0.98803229444359
449392,0.014781347429498548,0.9852186525705015
3392033,0.014781347429498548,0.9852186525705015
472167,0.018949799196370964,0.981050200803629
446725,0.02215630389137313,0.9778436961086269
71440751,0.023348056378069693,0.9766519436219303
121487093,0.027415128973234615,0.9725848710267654
512675,0.02742580044065912,0.9725741995593409
54089955,0.029028556802348837,0.9709714431976512
135496375,0.02950847165840864,0.9704915283415914
126968625,0.02993774896534096,0.970062251034659
57369656,0.02993774896534096,0.970062251034659
23421206,0.029937748965341515,0.9700622510346585
92252177,0.03207560125778042,0.9679243987422196
15160075,0.0328384375884605,0.9671615624115395
512130,0.03331285787977589,0.9666871421202241
5279534,0.033898787060276825,0.9661012129397232
135743938,0.03405847984636656,0.9659415201536334
483927,0.03524153435517452,0.9647584656448255
22787949,0.03532265430590931,0.9646773456940907
454121,0.03627936474135296,0.963720635258647
22841776,0.03666377531781018,0.9633362246821898
6475886,0.037015836029530735,0.9629841639704693
57369657,0.037338535118900285,0.9626614648810997
101543,0.037338535118901506,0.9626614648810985
515211,0.037914796956968644,0.9620852030430314
121217776,0.03814597183963875,0.9618540281603613
483922,0.03863903779590472,0.9613609622040953
44560559,0.03937223910061338,0.9606277608993866
483938,0.04053976551406058,0.9594602344859394
18655749,0.04072570968410716,0.9592742903158928
3005547,0.04114860412245169,0.9588513958775483
483943,0.041466211329308056,0.9585337886706919
1210964,0.04227839341098061,0.9577216065890194
121217563,0.042359554630974294,0.9576404453690257
101643824,0.04240370253605885,0.9575962974639411
135921348,0.042511603617180316,0.9574883963828197
54531183,0.04351858115666141,0.9564814188433386
10125531,0.04351858115666141,0.9564814188433386
124561689,0.04351858115666141,0.9564814188433386
5273982,0.04536067541563871,0.9546393245843613
5487206,0.04620688932170591,0.9537931106782941
6440103,0.04698089986542142,0.9530191001345786
453994,0.047528155322548504,0.9524718446774515
355900,0.047528155322548504,0.9524718446774515
515210,0.0475636616520797,0.9524363383479203
121015029,0.04804203323248768,0.9519579667675123
121006411,0.04920623129785229,0.9507937687021477
22209968,0.04962934647518569,0.9503706535248143
494218,0.049629346475186686,0.9503706535248133
54192124,0.04991774525245585,0.9500822547475442
6454537,0.04991774525245585,0.9500822547475442
542606,0.05009812675236991,0.9499018732476301
135483717,0.05104693216952172,0.9489530678304783
135457959,0.05104693216952172,0.9489530678304783
481528,0.05121699403476998,0.94878300596523
512633,0.05148145253205083,0.9485185474679492
6479140,0.051749925353135495,0.9482500746468645
7098661,0.05213854508438365,0.9478614549156164
53774252,0.05222696128643145,0.9477730387135685
6475885,0.052254256639496455,0.9477457433605035
483934,0.05266202399314801,0.947337976006852
483941,0.053005990797067026,0.946994009202933
91926387,0.053153098972309576,0.9468469010276904
10638005,0.05369192881850149,0.9463080711814985
250899,0.05410538033200829,0.9458946196679917
5274161,0.05427764833671722,0.9457223516632828
5279532,0.05512625531201909,0.9448737446879809
11580280,0.05527118004646603,0.944728819953534
137214373,0.055614255506393206,0.9443857444936068
87208407,0.05574712905734003,0.94425287094266
6450917,0.05580872249078961,0.9441912775092104
511377,0.056697500530441425,0.9433024994695586
90673699,0.056801095032998794,0.9431989049670012
72212336,0.056924325352472493,0.9430756746475275
15289164,0.05692432535247338,0.9430756746475266
3005551,0.05698306653059826,0.9430169334694017
6992262,0.05700237727623736,0.9429976227237626
483935,0.057447827010516095,0.9425521729894839
54432316,0.05799400937047716,0.9420059906295228
71371593,0.05817842872282131,0.9418215712771787
66608846,0.05830472820364807,0.9416952717963519
135439474,0.0591499071042253,0.9408500928957747
3012549,0.05943570458480085,0.9405642954151991
21852789,0.05951401849099025,0.9404859815090097
355902,0.06102867879223517,0.9389713212077648
453997,0.061028678792235724,0.9389713212077643
121487327,0.061293683218067385,0.9387063167819326
3012551,0.061955895602019195,0.9380441043979808
511378,0.0633517495916115,0.9366482504083885
6475798,0.06374255155779396,0.936257448442206
121487019,0.0654574901213889,0.9345425098786111
90663906,0.06569241744224785,0.9343075825577521
121487090,0.06642642052052661,0.9335735794794734
137090731,0.06670529413868631,0.9332947058613137
135538693,0.06675821643117119,0.9332417835688288
134715452,0.0669765125812889,0.9330234874187111
66535,0.06722701007682452,0.9327729899231755
12308857,0.06722701007682452,0.9327729899231755
57047691,0.0672270100768253,0.9327729899231747
135625316,0.06726086751152638,0.9327391324884736
3065118,0.0677039691100263,0.9322960308899737
483937,0.0680991994877368,0.9319008005122632
473280,0.06813528184473805,0.931864718155262
121486916,0.06823490307204083,0.9317650969279592
512676,0.06828908507023079,0.9317109149297692
6438459,0.06857191923458683,0.9314280807654132
6450981,0.06857191923458772,0.9314280807654123
135771870,0.06897621266823872,0.9310237873317613
5279533,0.06961042200025414,0.9303895779997459
512139,0.06972715250645023,0.9302728474935498
44421198,0.06973243266500795,0.930267567334992
6479144,0.06975972948715381,0.9302402705128462
6479145,0.06975972948715381,0.9302402705128462
15509509,0.06991384528737388,0.9300861547126261
135398701,0.07035735087492934,0.9296426491250707
512727,0.07072834375636106,0.9292716562436389
12994351,0.07199614258003473,0.9280038574199653
135509071,0.07203660226324216,0.9279633977367578
13989306,0.0728197998305834,0.9271802001694166
575855,0.07281979983058617,0.9271802001694138
512325,0.0734683617058054,0.9265316382941946
516053,0.07360179443415937,0.9263982055658406
512330,0.07365814994886433,0.9263418500511357
473281,0.0736821803929304,0.9263178196070696
3012564,0.07378944553840638,0.9262105544615936
5271262,0.07393033105865188,0.9260696689413481
136921547,0.07433112911944306,0.9256688708805569
101926865,0.07486574250660172,0.9251342574933983
133332,0.07486663015675632,0.9251333698432437
20839332,0.07486663015675632,0.9251333698432437
6439549,0.07486663015675632,0.9251333698432437
3006522,0.07510581884747503,0.924894181152525
3006523,0.07510581884747503,0.924894181152525
512323,0.07614620826447582,0.9238537917355242
6475928,0.07638517581658222,0.9236148241834178
